id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,2000.872,"TaeGeuk_",R,32,91,140,1.05,0.869,0.497,1.143,0.231,2.19,-36.83,17.298,6,38,56,0,0,154.768,85.276,24.861,0,0,0,0,5,R,"coder_",164.1,80,0.283,0,61,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.465,-37.507,0,"_Chun",-0.044,-17.428,0,"MuRaZaGi",-21.652,-45.603,0,"わかなで",-14.132,-61.332,0,"MODECO",18.127,-45.116,0,"檸檬の残骸",8.603,-60.287,0,"「론구」",37.858,-94.714,0,"ke ro",-1.583,-107.825,0,"ゆっち一",-45.056,-95.053,0,0,0,0,0,0,"",0,0,0,0,2001.673,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,2020.349,"TaeGeuk_",R,33,87,140,1.138,0.638,0.514,1.116,0.309,2.088,-36.83,25.246,4,51,46,2,0,122.961,103.854,19.416,0,0,1,0,5,R,"coder_",164.1,80,0.283,3,61,W,Y,2021.403,159,70,121,39,27,145,91,25.73,36.319,0.94,0,0.234,-179.265,18.067,-7.223,0.663,-37.04,0,"_Chun",0.156,-17.546,0,"MuRaZaGi",-21.462,-46.26,0,"わかなで",-14.585,-60.611,0,"MODECO",18.216,-45.137,0,"檸檬の残骸",9.242,-57.484,0,"「론구」",37.785,-94.649,0,"ke ro",-2.133,-106.808,0,"ゆっち一",-41.208,-99.718,103,2024.416,-39.993,-73.558,2025.645,8,"ゆっち一",-44.81,-81.141,1,0,,,,,66,2
3,1,1,0,0,0,0,0,1,0,0,5,255,255,2,2049.821,"TaeGeuk_",R,36,90,140,0.487,0.678,0.459,1.157,0.052,2.163,-36.83,15.191,4,50,46,0,0,144.092,147.871,30.831,0,0,0,1,2,R,"甲斐野柊太",190,80,0.2,0,168,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,-37.394,0,"_Chun",0.053,-17.37,0,"MuRaZaGi",-18.746,-39.167,0,"わかなで",-16.179,-63.335,0,"MODECO",17.158,-42.881,0,"檸檬の残骸",3.513,-59.277,0,"「론구」",35.604,-91.19,0,"ke ro",-0.519,-105.492,0,"ゆっち一",-43.454,-92.035,0,0,0,0,0,0,"",0,0,0,0,2050.339,,,,0,0
4,1,1,0,0,0,1,0,1,0,0,5,255,255,3,2064.716,"TaeGeuk_",R,32,79,129,2.072,0.359,0.583,1.076,0.628,1.899,-36.83,23.874,6,37,57,4,0,166.357,38.569,18.29,0,0,1,1,2,R,"甲斐野柊太",190,80,0.2,0,168,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.755,-36.979,0,"_Chun",-0.119,-17.53,0,"MuRaZaGi",-18.655,-39.649,0,"わかなで",-16.948,-67.402,0,"MODECO",17.894,-43.397,0,"檸檬の残骸",3.391,-58.455,0,"「론구」",35.54,-91.165,0,"ke ro",0.355,-100.781,0,"ゆっち一",-43.693,-92.609,0,0,0,0,0,0,"",0,0,0,0,2065.208,,,,0,0
5,1,1,0,0,0,2,0,1,0,0,5,255,255,4,2083.97,"TaeGeuk_",R,33,85,137,1.994,0.392,0.598,1.098,0.7,1.972,-36.83,25.731,5,49,46,4,0,105,92.231,12.749,0,0,1,1,2,R,"甲斐野柊太",190,80,0.2,0,167,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.651,-37.118,0,"_Chun",-0.213,-17.236,0,"MuRaZaGi",-19.045,-39.788,0,"わかなで",-18.822,-62.151,0,"MODECO",17.719,-44.744,0,"檸檬の残骸",0.242,-61.193,0,"「론구」",35.589,-91.215,0,"ke ro",0.317,-100.774,0,"ゆっち一",-42.768,-91.228,0,0,0,0,0,0,"",0,0,0,0,2084.416,,,,0,0
6,1,1,0,0,0,0,1,1,0,0,5,255,255,5,2107.936,"TaeGeuk_",R,32,89,140,-1.444,0.374,0.257,1.089,-0.884,1.941,-36.83,14.225,5,55,40,0,0,205.557,85.605,20.951,0,0,0,2,1,L,"눈꽃",190,80,0.497,0,166,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,-37.74,0,"_Chun",0.323,-17.006,0,"MuRaZaGi",-18.98,-40.471,0,"わかなで",-7.262,-65.058,0,"MODECO",20.668,-45.975,0,"檸檬の残骸",11.648,-63.027,0,"「론구」",48.074,-102.261,0,"ke ro",2.081,-119.546,0,"ゆっち一",-36.945,-107.096,0,0,0,0,0,0,"",0,0,0,0,2108.284,,,,0,0
7,1,1,0,0,0,1,1,1,0,0,5,255,255,6,2131.962,"TaeGeuk_",R,33,85,121,2.659,0.176,0.733,1.034,0.884,1.728,-36.83,30.393,3,53,45,1,0,149.494,-13.348,13.085,0,0,0,2,1,L,"눈꽃",190,80,0.497,0,166,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.624,-37.234,0,"_Chun",1.226,-17.197,0,"MuRaZaGi",-18.434,-39.588,0,"わかなで",-6.655,-66.228,0,"MODECO",20.375,-45.461,0,"檸檬の残骸",11.311,-62.955,0,"「론구」",48.048,-102.223,0,"ke ro",1.591,-116.418,0,"ゆっち一",-37.991,-106.303,0,0,0,0,0,0,"",0,0,0,0,2132.339,,,,0,0
8,1,1,0,0,1,1,1,1,0,0,5,255,255,7,2148.636,"TaeGeuk_",R,32,78,115,3.277,-0.023,0.754,0.94,0.952,1.524,-36.83,36,0,17,83,1,0,250,-97.178,29.134,0,0,0,2,1,L,"눈꽃",190,80,0.497,0,166,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.718,-37.255,0,"_Chun",0.765,-20.487,0,"MuRaZaGi",-18.962,-39.713,0,"わかなで",-0.24,-60.514,0,"MODECO",19.729,-43.61,0,"檸檬の残骸",7.09,-64.331,0,"「론구」",48.081,-102.335,0,"ke ro",0.87,-110.501,0,"ゆっち一",-39.705,-105.574,0,0,0,0,0,0,"",0,0,0,0,2148.999,2151.15,,,0,0
9,1,1,0,0,2,1,1,0,1,0,255,5,255,8,2169.707,"TaeGeuk_",R,32,83,135,-0.872,0.872,0.306,1.185,-0.656,2.253,-36.83,25.867,0,57,43,2,0,182.028,71.139,16.239,0,0,1,2,1,L,"눈꽃",190,80,0.497,3,166,W,Y,2170.655,255,54,78,58,10,145,104,102.523,56.249,-0.16,0,0.318,18.766,-30.251,20.485,0.464,-37.022,0,"_Chun",-0.132,-17.172,0,"MuRaZaGi",-20.233,-46.113,0,"わかなで",-5.521,-66.433,0,"MODECO",18.968,-44.779,0,"檸檬の残骸",13.518,-61.466,0,"「론구」",48.044,-102.21,0,"ke ro",0.556,-113.828,0,"ゆっち一",-38.767,-108.779,0,2176.728,38.061,6.897,0,0,"",0,0,0,0,2200.617,2173.72,,,72,3
10,1,1,0,0,2,2,1,0,1,0,255,5,255,9,2261.375,"TaeGeuk_",R,32,69,122,-0.396,-0.297,0.379,0.916,-0.512,1.57,-36.83,29.177,0,8,92,2,0,196.999,105.348,20.962,0,0,1,2,1,L,"눈꽃",190,80,0.497,3,84,W,Y,2262.428,253,151,92,94,42,145,130,110.808,24.438,0.67,0,0.47,269.758,184.557,-252.161,0.581,-37.121,0,"_Chun",-0.012,-17.324,0,"MuRaZaGi",-19.52,-48.713,0,"わかなで",-7.062,-66.273,0,"MODECO",19.698,-45.848,0,"檸檬の残骸",13.873,-61.76,0,"「론구」",48.725,-103.529,0,"ke ro",1.525,-118.998,0,"ゆっち一",-37.402,-107.553,0,0,0,0,0,0,"",0,0,0,0,,2266.202,,,64,3
