id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1534.477,Metalu,R,27,97,140,-0.647,0.461,0.127,1.805,-0.34,1.8,-36.505,19.084,95,5,0,0,0,46.309,-109.529,1.874,0,0,0,0,8,L,NABIMan,190,83.228,0.48,0,55,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.208,-37.325,0,kneesohime,-0.127,-17.353,0,にゃんこ65K,-21.403,-50.915,0,vovopo 보보포,-7.609,-61.594,0,Parottey,19.467,-43.844,0,CoalCat,13.604,-61.261,0,あくせる,47.318,-101.934,0,「yune」,2.392,-111.229,0,Roscosmos,-41.43,-87.187,0,0,0,0,0,0,,0,0,0,0,1535.403,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,1551.079,Metalu,R,3,57,101,-1.053,0.276,0.334,1.866,0.447,1.796,-36.505,40.05,86,14,0,0,0,-447.998,0,-14.104,0,0,1,0,8,L,NABIMan,190,83.228,0.48,0,55,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032,-37.112,0,kneesohime,-0.097,-17.339,0,にゃんこ65K,-21.957,-50.364,0,vovopo 보보포,-8.678,-62.014,0,Parottey,21.814,-46.785,0,CoalCat,13.559,-61.276,0,あくせる,47.28,-101.922,0,「yune」,2.022,-110.994,0,Roscosmos,-41.845,-87.453,0,0,0,0,0,0,,0,0,0,0,1552.153,,,,0,0
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,1568.863,Metalu,R,28,88,140,-2.055,0.724,-0.002,1.86,-0.937,1.979,-36.505,21.461,96,4,0,2,0,30.919,-92.883,1.213,0,0,1,0,8,L,NABIMan,190,83.228,0.48,3,55,W,Y,1569.943,114,96,137,118,58,137,118,93.919,69.371,0.75,0,0.698,214.462,-526.755,80.184,0.085,-36.921,0,kneesohime,-0.341,-17.315,0,にゃんこ65K,-22.425,-52.591,0,vovopo 보보포,-10.103,-60.693,0,Parottey,21.591,-45.69,0,CoalCat,13.649,-61.212,0,あくせる,47.51,-101.971,0,「yune」,2.24,-111.178,0,Roscosmos,-41.629,-86.803,0,0,0,0,0,0,,0,0,0,0,,,,,0,3
4,1,1,0,0,0,2,0,0,0,0,255,255,255,3,1598.976,Metalu,R,27,86,139,1.374,1.103,0.305,1.981,0.517,2.205,-36.505,36.107,95,5,0,4,0,53.08,-102.076,-0.801,0,0,1,0,8,L,NABIMan,190,83.228,0.48,0,56,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253,-37.331,0,kneesohime,-0.003,-17.366,0,にゃんこ65K,-23.363,-49.719,0,vovopo 보보포,-8.821,-62.188,0,Parottey,21.329,-46.349,0,CoalCat,14.582,-61.095,0,あくせる,47.139,-100.522,0,「yune」,1.597,-111.916,0,Roscosmos,-40.782,-87.9,0,0,0,0,0,0,,0,0,0,0,1599.82,,,,0,0
5,1,1,0,0,0,0,1,0,0,0,255,255,255,4,1624.762,Metalu,R,26,102,140,-0.272,-1.716,0.166,1.361,-0.16,0.364,-36.505,13.213,57,43,0,2,0,31.311,-200,-0.17,0,0,1,1,2,L,ʚEveɞ,190,85.404,0.402,3,56,W,Y,1625.8,255,161,94,80,23,145,130,-30,22.497,0.37,0,0.369,55.104,384.767,23.822,-0.048,-36.858,0,kneesohime,-0.011,-17.6,0,にゃんこ65K,-22.511,-53.13,75,vovopo 보보포,-9.971,-60.395,0,Parottey,20.814,-45.261,0,CoalCat,14.623,-60.938,0,あくせる,46.458,-101.781,0,「yune」,0.411,-115.937,0,Roscosmos,-40.4,-89.896,103,1625.436,-0.262,-20.719,1628.57,8,Roscosmos,-27.491,-86.15,1,0,,,,,264,2
6,1,1,0,0,0,0,1,1,0,0,2,255,255,5,1653.976,Metalu,R,27,90,140,1.612,0.731,0.343,1.947,0.634,1.964,-36.505,31.351,93,7,0,2,0,49.884,-112.154,-1.866,0,0,1,2,4,R,인생최패망자,190,80,0.351,3,56,W,Y,1655.081,255,178,151,149,53,145,90,25.184,11.227,-0.84,0,0.378,233.478,-477.237,52.015,0.233,-36.879,0,kneesohime,0.157,-17.491,0,にゃんこ65K,-19.06,-44.842,0,vovopo 보보포,-14.971,-59.019,0,Parottey,18.561,-45.8,0,CoalCat,9.233,-61.144,78,あくせる,38.389,-97.864,0,「yune」,-7.166,-111.374,99,Roscosmos,-42.644,-85.531,0,0,0,0,1659.786,7,「yune」,-7.05,-95.359,0,0,,,,,65,1
7,1,1,0,0,0,0,2,1,0,0,2,255,255,6,1683.074,Metalu,R,27,91,140,-1.071,0.604,0.099,1.916,-0.54,1.857,-36.505,27.811,92,8,0,2,0,60,-140.324,2.011,0,0,0,3,1,R,P0TA0,189.5,96.215,0.525,3,56,W,Y,1684.077,241,12,80,53,21,143,116,-30,42.362,0.88,0,0.085,-79.648,293.157,-57.85,-0.278,-36.91,0,kneesohime,-0.149,-17.439,0,にゃんこ65K,-19.517,-43.583,0,vovopo 보보포,-15.536,-60.354,0,Parottey,19.842,-45.258,0,CoalCat,9.736,-64.988,0,あくせる,37.912,-98.288,0,「yune」,-6.495,-117.368,0,Roscosmos,-42.39,-84.218,0,1683.753,-1.747,-18.938,1685.136,2,にゃんこ65K,-18.212,-38.706,0,0,1732.82,,,,40,2
8,1,0,0,0,0,0,0,0,0,0,255,255,255,0,1841.345,sano jpn,R,32,83,134,1.706,0.201,0.559,1.363,0.303,1.46,-36.24,26.779,0,100,0,2,0,163.788,-53.104,-7.94,0,0,1,0,7,R,「yune」,174.8,80,0.28,3,32,W,Y,1842.41,152,102,83,57,35,143,89,13.477,8.27,-0.53,0,0.185,-466.548,298.742,4.993,0.148,-37.148,0,P0TA0,0.177,-17.092,0,ʚEveɞ,-21.473,-48.871,89,白霜らいふ,-14.237,-64.45,107,인생최패망자,15.817,-45.428,0,ibqrqki,10.229,-64.519,0,Ѕeyeon,39.901,-97.647,0,カズティー,0.205,-114.829,0,NABIMan,-50.817,-97.823,0,1844.103,-7.698,-62.324,1844.57,3,白霜らいふ,-7.604,-61.996,0,1,,,,,98,2
9,1,0,0,0,0,0,1,0,0,0,255,255,255,1,1870.584,sano jpn,R,33,74,126,0.427,0.292,0.299,1.34,-0.012,1.74,-36.24,19.473,0,100,0,0,0,149.999,-67.918,-13.527,0,0,0,1,9,R,Gonyong,190,85,0.2,0,55,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.629,-38.382,0,P0TA0,0.147,-16.905,0,ʚEveɞ,-21.068,-47.699,0,白霜らいふ,-15.083,-64.123,0,인생최패망자,16.982,-46.286,0,ibqrqki,10.262,-65.529,0,Ѕeyeon,47.514,-94.243,0,カズティー,-4.203,-122.429,0,NABIMan,-51.677,-101.251,0,0,0,0,0,0,,0,0,0,0,1871.603,,,,0,0
10,1,0,0,0,0,1,1,0,0,0,255,255,255,2,1889.387,sano jpn,R,0,82,119,0.144,-1.543,0.462,1.197,0.048,0.648,-36.24,36.952,34,66,0,1,0,0,0,-10.773,-0.08,-16.55,0,1,9,R,Gonyong,190,85,0.2,0,53,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132,-37.439,0,P0TA0,0.1,-16.709,0,ʚEveɞ,-21.159,-47.629,0,白霜らいふ,-13.505,-64.533,0,인생최패망자,16.916,-46.208,0,ibqrqki,10.308,-65.487,0,Ѕeyeon,47.536,-94.242,0,カズティー,-4.205,-122.427,0,NABIMan,-52.775,-101.218,0,0,0,0,0,0,,0,0,0,0,1890.653,,,,0,0
