id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1692.825,"encounter v",R,26,99,140,0.699,1.057,0.226,2.349,0.122,2.001,-36.681,50.433,72,28,0,0,0,129.069,-200,-6.341,0,0,0,0,7,R,"「yune」",174.8,80,0.28,0,89,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276,-37.5,0,"DoYaGee",0.041,-17.435,0,"쟈가리코",-22.228,-46.513,0,"muyang_",-17.692,-63.601,0,"わだ、、",19.092,-46.196,0,"shimenawa",12.459,-65.49,0,"_송글_",39.742,-88.478,0,"ByeolBam",-2.525,-109.499,0,"ddil_ddil69",-39.442,-88.34,0,0,0,0,0,0,"",0,0,0,0,1694.492,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,1709.244,"encounter v",R,13,75,113,-0.057,-0.871,0.336,2.219,0.632,1.546,-36.681,50.685,86,14,0,2,0,-369.471,336.884,-1.547,0,0,1,0,7,R,"「yune」",174.8,80,0.28,3,89,W,Y,1710.444,237,212,97,85,43,145,126,-16.178,6.874,0.63,0,0.364,-231.456,234.375,-281.067,0.058,-37.223,0,"DoYaGee",-0.051,-17.596,0,"쟈가리코",-21.843,-46.75,70,"muyang_",-17.03,-62.881,0,"わだ、、",18.181,-46.587,0,"shimenawa",11.909,-65.169,0,"_송글_",39.715,-88.498,0,"ByeolBam",-2.527,-109.482,103,"ddil_ddil69",-39.336,-88.408,0,1710.671,-0.235,-22.232,1714.034,7,"ByeolBam",-8.174,-98.424,1,0,,,,,44,2
3,1,1,0,0,0,0,0,1,0,0,7,255,255,2,1738.4,"encounter v",R,26,94,140,1.585,1.531,0.309,2.426,0.505,2.27,-36.681,65.282,77,23,0,1,0,148.079,-200,-5.736,0,0,0,1,5,R,"CoalCat",175.4,82.838,0.435,0,88,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168,-37.23,0,"DoYaGee",-0.709,-18.274,0,"쟈가리코",-21.294,-42.777,0,"muyang_",-12.797,-57.446,0,"わだ、、",18.173,-44.619,0,"shimenawa",8.441,-65.076,0,"_송글_",42.471,-92.476,0,"ByeolBam",-3.94,-114.054,0,"ddil_ddil69",-43.624,-92.85,0,0,0,0,0,0,"",0,0,0,0,1740.059,,,,0,0
4,1,1,0,0,1,0,0,1,0,0,7,255,255,3,1752.443,"encounter v",R,26,97,140,1.574,1.241,0.302,2.378,0.474,2.102,-36.681,56.009,67,33,0,2,0,148.198,-200,-2.785,0,0,1,1,5,R,"CoalCat",175.4,82.838,0.435,3,88,W,Y,1753.511,229,68,103,75,38,145,91,98.808,-14.588,-0.53,0,0.357,214.259,-39.091,-31.162,0.215,-37.093,0,"DoYaGee",-0.042,-17.504,0,"쟈가리코",-20.743,-46.477,0,"muyang_",-14.833,-58.059,0,"わだ、、",17.765,-44.905,0,"shimenawa",8.37,-64.669,0,"_송글_",42.529,-92.422,0,"ByeolBam",-3.957,-114.933,0,"ddil_ddil69",-43.624,-92.961,0,0,0,0,0,0,"",0,0,0,0,,,,,32,3
5,1,1,0,0,1,1,0,1,0,0,7,255,255,4,1779.068,"encounter v",R,10,91,128,0.492,1.694,0.262,2.438,0.29,3.016,-36.681,70.68,81,19,0,2,1,-55.308,400,-23.404,0,0,1,1,5,R,"CoalCat",175.4,82.838,0.435,3,39,W,Y,1780.198,147,38,74,49,15,138,114,95.936,-84.031,0.21,0,0.401,-25.102,585.126,-39.742,0.179,-37.165,0,"DoYaGee",-0.033,-17.438,0,"쟈가리코",-20.728,-45.976,0,"muyang_",-14.116,-58.812,0,"わだ、、",17.538,-45.231,0,"shimenawa",11.294,-66.018,0,"_송글_",42.28,-91.154,0,"ByeolBam",-1.794,-109.469,0,"ddil_ddil69",-43.317,-92.28,0,0,0,0,0,0,"",0,0,0,0,,,,,32,3
6,1,1,0,0,1,2,0,0,1,0,255,255,255,5,1830.047,"encounter v",R,26,92,140,1.33,1.027,0.268,2.343,0.318,1.979,-36.681,54.524,79,21,0,2,0,184.716,-200,-14.438,0,0,1,1,5,R,"CoalCat",175.4,82.838,0.435,3,39,W,Y,1831.113,255,54,164,87,18,145,84,27.57,-24.143,-0.89,0,0.393,352.973,-420.819,67.991,0.152,-37.127,0,"DoYaGee",0.018,-17.427,0,"쟈가리코",-20.728,-45.484,0,"muyang_",-15.458,-58.784,71,"わだ、、",17.928,-45.959,0,"shimenawa",9.045,-66.014,0,"_송글_",42.128,-89.59,101,"ByeolBam",-1.459,-110.785,0,"ddil_ddil69",-43.026,-93.011,0,0,0,0,1836.405,6,"_송글_",34.478,-80.919,0,0,,1836.703,,,304,1
7,1,1,0,0,0,0,1,0,1,0,255,255,255,6,1862.101,"encounter v",R,26,94,140,7.546,-1.087,0.257,1.779,3.2,0.737,-36.681,26.227,47,53,0,1,0,67.969,-200,-2.748,1.819,-14.847,0,2,0,R,"あくせる",190,89.801,0.5,0,84,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256,-35.55,0,"DoYaGee",1.845,-17.021,0,"쟈가리코",-21.752,-44.206,0,"muyang_",-16.659,-62.414,0,"わだ、、",19.317,-46.478,0,"shimenawa",8.528,-65.372,0,"_송글_",42.808,-91.765,0,"ByeolBam",-1.129,-109.058,0,"ddil_ddil69",-46.952,-96.679,0,0,0,0,0,0,"",0,0,0,0,1866.421,,1868.114,,0,0
8,1,1,0,0,1,0,1,0,0,1,255,255,7,7,1888.782,"encounter v",R,26,91,140,1.507,1.351,0.29,2.435,0.419,2.254,-36.681,66.549,75,25,0,4,0,167.537,-200,-17.16,0,0,1,2,0,R,"あくせる",190,89.801,0.5,0,84,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209,-37.406,0,"DoYaGee",0.09,-17.394,0,"쟈가리코",-21.392,-44.234,0,"muyang_",-16.896,-63.175,0,"わだ、、",17.869,-41.713,0,"shimenawa",11.567,-65.066,0,"_송글_",40.768,-84.361,0,"ByeolBam",-1.286,-108.253,0,"ddil_ddil69",-46.293,-97.006,0,0,0,0,0,0,"",0,0,0,0,1890.413,,1891.795,,0,0
9,1,1,0,0,1,1,1,0,0,1,255,255,7,8,1904.917,"encounter v",R,26,93,140,0.556,0.808,0.201,2.33,0.005,1.915,-36.681,45.607,79,21,0,0,0,169.168,-200,-7.112,0,0,1,2,0,R,"あくせる",190,89.801,0.5,0,84,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145,-37.272,0,"DoYaGee",0.038,-17.365,0,"쟈가리코",-21.596,-46.057,0,"muyang_",-17.075,-62.821,0,"わだ、、",18.122,-41.49,0,"shimenawa",7.85,-67.319,0,"_송글_",38.859,-87.667,0,"ByeolBam",-0.207,-109.111,0,"ddil_ddil69",-46.469,-97.295,0,0,0,0,0,0,"",0,0,0,0,1906.492,,1908.004,,0,0
10,1,1,0,0,1,2,1,0,0,1,255,255,7,9,1925.793,"encounter v",R,32,100,140,1.401,1.836,0.256,2.431,0.26,2.563,-36.681,58.301,68,32,0,4,0,250,-200,9.759,0,0,1,2,0,R,"あくせる",190,89.801,0.5,0,84,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209,-37.227,0,"DoYaGee",0.08,-17.348,0,"쟈가리코",-20.984,-44.785,0,"muyang_",-16.86,-63.101,0,"わだ、、",18.094,-42.098,0,"shimenawa",9.884,-66.058,0,"_송글_",39.161,-87.455,0,"ByeolBam",-0.102,-109.265,0,"ddil_ddil69",-46.446,-97.319,0,0,0,0,0,0,"",0,0,0,0,1927.455,,1928.511,,0,0
