id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1157.617,"si_ho",R,13,60,91,0.372,0.457,0.531,1.947,0.823,2.517,-36.372,33.366,91,9,0,0,0,-296.873,348.169,-15.283,0,0,0,0,5,R,"coder_",164.1,80,0.283,0,86,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177,-37.883,0,"mungjungh",-0.017,-17.237,0,"Kr_Luna",-19.504,-49.663,0,"Yaksok~",-15.509,-63.931,0,"Penguin_iDOL",17.575,-59.609,0,"CVPileMaki",2.74,-66.688,0,"HANA_ARASHI",46.988,-100.314,0,"-KYU-",0.266,-104.831,0,"SUGUN",-46.716,-92.508,0,0,0,0,0,0,"",0,0,0,0,1158.456,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,2,1171.586,"si_ho",R,3,74,103,0.93,-0.107,0.44,1.796,0.128,1.649,-36.372,39.089,90,10,0,2,0,-361.706,0,-5.698,0,0,1,0,5,R,"coder_",164.1,80,0.283,3,86,W,Y,1172.788,255,104,109,106,39,145,121,23.139,32.403,0.38,0,0.55,116.236,135.177,52.502,0.389,-37.437,0,"mungjungh",-0.193,-17.492,0,"Kr_Luna",-19.464,-48.096,0,"Yaksok~",-13.157,-64.871,0,"Penguin_iDOL",17.476,-59.742,0,"CVPileMaki",2.029,-67.926,68,"HANA_ARASHI",49.349,-103.891,0,"-KYU-",0.02,-105.234,0,"SUGUN",-46.78,-92.428,119,1176.981,-59.939,-108.615,1177.725,8,"SUGUN",-57.779,-107.766,1,0,,1181.515,,,384,2
3,1,1,0,0,0,0,0,0,1,0,255,5,255,2,1214.971,"si_ho",R,26,86,140,-0.547,0.139,0.27,1.783,-0.254,1.521,-36.372,17.211,92,8,0,0,0,6.448,-158.579,7.937,0,0,0,1,7,L,"눈꽃",170,80,0.497,0,85,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303,-37.805,0,"mungjungh",-0.067,-17.278,0,"Kr_Luna",-18.86,-48.183,0,"Yaksok~",-3.225,-60.158,0,"Penguin_iDOL",21.029,-43.893,0,"CVPileMaki",14.446,-63.938,0,"HANA_ARASHI",48.546,-107.329,0,"-KYU-",3.33,-107.15,0,"SUGUN",-43.01,-94.355,0,0,0,0,0,0,"",0,0,0,0,1215.521,1218.085,,,0,0
4,1,1,0,0,0,1,0,0,1,0,255,5,255,3,1234.362,"si_ho",R,10,81,109,1.109,-1.657,0.381,1.677,0.472,1.246,-36.372,25.847,97,3,0,1,0,0,400,10.562,0,0,0,1,7,L,"눈꽃",170,80,0.497,0,85,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133,-37.782,0,"mungjungh",0.085,-17.301,0,"Kr_Luna",-18.531,-49.453,0,"Yaksok~",-3.151,-60.483,0,"Penguin_iDOL",20.508,-49.134,0,"CVPileMaki",16.003,-62.686,0,"HANA_ARASHI",46.097,-106.201,0,"-KYU-",1.039,-105.294,0,"SUGUN",-43.927,-93.624,0,0,0,0,0,0,"",0,0,0,0,1235.035,1237.392,,,0,0
5,1,1,0,0,1,1,0,0,1,0,255,5,255,4,1252.061,"si_ho",R,26,88,140,-1.993,-0.445,0.095,1.629,-0.93,1.199,-36.372,3.387,58,42,0,1,0,43.707,-156.688,19.309,0,0,0,1,7,L,"눈꽃",170,80,0.497,0,85,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263,-37.78,0,"mungjungh",-0.105,-17.242,0,"Kr_Luna",-19.538,-47.139,0,"Yaksok~",-3.245,-60.494,0,"Penguin_iDOL",21.331,-45.378,0,"CVPileMaki",15.765,-63.036,0,"HANA_ARASHI",47.562,-104.711,0,"-KYU-",1.075,-105.405,0,"SUGUN",-43.918,-93.629,0,0,0,0,0,0,"",0,0,0,0,1252.602,1255.043,,,0,0
6,1,1,0,0,2,1,0,0,1,0,255,5,255,5,1270.953,"si_ho",R,26,80,131,0.462,2.301,0.348,1.957,0.093,2.732,-36.372,42.741,87,13,0,4,0,67.543,-153.72,-0.416,0,0,1,1,7,L,"눈꽃",170,80,0.497,0,85,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267,-37.717,0,"mungjungh",-0.081,-17.292,0,"Kr_Luna",-20.222,-47.822,0,"Yaksok~",-4.056,-61.534,0,"Penguin_iDOL",22.074,-46.607,0,"CVPileMaki",15.698,-62.976,0,"HANA_ARASHI",42.773,-105.026,0,"-KYU-",0.971,-105.799,0,"SUGUN",-43.929,-93.599,0,0,0,0,0,0,"",0,0,0,0,1271.483,1273.832,,,0,0
7,1,1,0,0,2,2,0,0,1,0,255,5,255,6,1288.502,"si_ho",R,10,80,107,2.202,-1.278,0.526,1.678,1.015,1.477,-36.372,42.599,90,10,0,4,0,-38.172,400,-6.83,0,0,1,1,7,L,"눈꽃",170,80,0.497,0,85,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248,-37.801,0,"mungjungh",-0.289,-17.941,0,"Kr_Luna",-19.777,-47.486,0,"Yaksok~",-3.347,-61.785,0,"Penguin_iDOL",22.856,-45.58,0,"CVPileMaki",16.614,-61.904,0,"HANA_ARASHI",43.561,-105.681,0,"-KYU-",2.172,-106.158,0,"SUGUN",-44.055,-93.509,0,0,0,0,0,0,"",0,0,0,0,1289.239,1291.949,,,0,0
8,1,1,0,0,0,0,1,0,1,0,255,5,255,7,1317.948,"si_ho",R,26,75,126,1.47,-0.144,0.365,1.652,0.67,1.345,-36.372,13.413,57,43,0,4,0,-52.186,-181.288,9.562,0.016,-21.174,0,2,2,R,"甲斐野柊太",190,80,0.2,0,30,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198,-37.803,0,"mungjungh",0.023,-20.105,0,"Kr_Luna",-17.65,-43.426,0,"Yaksok~",-13.749,-61.564,0,"Penguin_iDOL",21.11,-47.632,0,"CVPileMaki",3.034,-63.938,0,"HANA_ARASHI",34.694,-94.242,0,"-KYU-",-1.371,-103.891,0,"SUGUN",-44.509,-92.729,0,0,0,0,0,0,"",0,0,0,0,1319.752,1322.142,,,0,0
9,1,1,0,0,0,1,1,0,1,0,255,5,255,8,1410.665,"si_ho",R,13,57,89,0.876,0.33,0.556,1.899,0.85,2.151,-36.372,38.093,94,6,0,2,0,-307.513,324.878,-17.671,0,0,1,2,2,R,"甲斐野柊太",190,80,0.2,3,81,W,Y,1411.979,23,15,0,0,15,3,28,-56.592,39.932,0.62,1,0.506,201.622,110.916,-358.34,0.357,-37.66,120,"mungjungh",-0.043,-17.433,120,"Kr_Luna",-17.778,-46.682,92,"Yaksok~",-16.937,-66.804,0,"Penguin_iDOL",20.542,-47.699,0,"CVPileMaki",2.568,-67.467,85,"HANA_ARASHI",28.479,-86.524,0,"-KYU-",0.488,-104.471,0,"SUGUN",-45.43,-93.495,0,1411.345,-0.413,-20.794,1414.683,0,"si_ho",-5.183,-27.308,0,0,1420.912,,1415.552,1421.439,194,2
10,1,1,1,0,0,0,2,0,0,0,255,255,255,9,1447.641,"si_ho",R,10,73,102,1.991,-1.115,0.479,1.655,0.853,1.421,-36.372,28.744,55,45,0,1,0,0,400,12.827,0,0,0,3,8,R,"소솨소솨",185.8,80,0.498,0,81,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171,-37.736,0,"mungjungh",0.019,-17.042,0,"Kr_Luna",-19.166,-48.7,0,"Yaksok~",-15,-64.618,0,"Penguin_iDOL",21.31,-50.523,0,"CVPileMaki",3.39,-67.858,0,"HANA_ARASHI",42.437,-103.27,0,"-KYU-",0.084,-104.221,0,"SUGUN",-49.944,-94.731,0,0,0,0,0,0,"",0,0,0,0,1448.468,,,,0,0
