id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1787.975,"Slaris",R,28,75,126,1.007,-0.108,0.431,1.906,0.331,1.452,-36.485,53.205,62,29,9,2,0,62.053,-66.073,19.612,0,0,1,0,7,R,"「yune」",174.8,80,0.28,3,57,W,Y,1789.069,255,98,85,80,36,145,85,-20.3,-36.928,-0.8,0,0.108,-422.421,-317.106,5.857,0.096,-36.699,0,"-라후이-",0.142,-17.639,0,"Floră",-18.864,-44.775,85,"낑깡__",-13.894,-67.751,0,"Ainy4／あいにゃ",19.669,-49.549,118,"ぐだもん",13.251,-64.472,0,"Kenomo",40.551,-98.745,0,"아침땅_",-1.471,-117.108,0,"ディシジョン",-46.422,-89.092,0,1789.099,1.768,-22.198,1790.749,4,"Ainy4／あいにゃ",18.055,-43.849,0,1,,,,,22,2
2,1,1,0,0,0,0,1,0,0,0,255,255,255,1,1817.08,"Slaris",R,26,88,140,1.847,0.013,0.29,1.81,0.745,1.474,-36.485,36.38,77,15,8,1,0,45.034,-159.3,21.585,0,0,0,1,6,R,"Espressο",190,85.071,0.2,0,57,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093,-37,0,"-라후이-",0.127,-17.675,0,"Floră",-18.9,-44.681,0,"낑깡__",-13.744,-68.047,0,"Ainy4／あいにゃ",19.197,-49.188,0,"ぐだもん",13.07,-62.23,0,"Kenomo",47.042,-104.207,0,"아침땅_",-1.019,-120.375,0,"ディシジョン",-53.108,-97.751,0,0,0,0,0,0,"",0,0,0,0,1818.099,,,,0,0
3,1,1,0,0,1,0,1,0,0,0,255,255,255,2,1834.801,"Slaris",R,27,89,140,-0.141,-0.91,0.233,1.807,-0.124,0.917,-36.485,37.297,78,19,3,2,0,40.786,-126.444,18.95,0,0,1,1,6,R,"Espressο",190,85.071,0.2,3,57,W,Y,1835.758,255,177,137,97,42,145,130,-30,-31.517,0.48,0,0.242,-497.641,300.892,-142.074,-0.068,-36.745,0,"-라후이-",0.084,-17.708,0,"Floră",-18.682,-44.895,80,"낑깡__",-13.799,-68.18,0,"Ainy4／あいにゃ",19.213,-49.146,0,"ぐだもん",12.545,-64.228,0,"Kenomo",45.223,-105.613,0,"아침땅_",-0.87,-120.348,0,"ディシジョン",-53.101,-97.744,0,1835.649,0.6,-21.264,1836.965,4,"Ainy4／あいにゃ",15.816,-46.155,0,0,,,,,22,2
4,1,1,0,0,0,0,2,0,0,0,255,255,255,3,1913.95,"Slaris",R,3,53,98,-5.33,0.039,-0.016,1.694,-1.517,1.657,-36.485,81.985,67,33,0,1,0,-445.455,0,7.788,0,0,0,2,1,R,"あくせる",190,89.801,0.5,0,75,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.182,-37.489,0,"-라후이-",-0.398,-17.525,0,"Floră",-18.79,-44.724,0,"낑깡__",-13.834,-68.128,0,"Ainy4／あいにゃ",19.118,-47.2,0,"ぐだもん",11.614,-65.064,0,"Kenomo",45.028,-104.948,0,"아침땅_",-0.597,-118.846,0,"ディシジョン",-53.003,-103.126,0,0,0,0,0,0,"",0,0,0,0,1915.382,,,,0,0
5,1,1,0,0,1,0,2,0,0,0,255,255,255,4,1929.433,"Slaris",R,33,79,129,2.477,1.091,0.447,1.891,0.907,2.255,-36.485,59.892,71,20,9,2,0,106.943,-33.573,17.584,0,0,1,2,1,R,"あくせる",190,89.801,0.5,3,75,W,Y,1930.542,255,55,91,71,30,145,93,34.305,-9.542,-0.71,0,0.24,405.873,354.66,-263.596,-0.004,-36.65,0,"-라후이-",0.197,-17.571,0,"Floră",-18.918,-45.016,0,"낑깡__",-13.405,-68.29,85,"Ainy4／あいにゃ",19.091,-47.148,0,"ぐだもん",11.084,-63.735,0,"Kenomo",44.845,-105.122,0,"아침땅_",-0.772,-118.816,101,"ディシジョン",-53.02,-103.132,0,1935.499,8.497,-94.432,1936.715,7,"아침땅_",8.58,-100.625,1,0,,,,,388,2
6,1,1,0,0,0,0,2,1,0,0,1,255,255,5,1965.524,"Slaris",R,27,92,140,0.577,-0.368,0.205,1.795,0.199,1.253,-36.485,35.876,77,17,6,0,0,42.898,-135.275,23.835,0,0,1,3,2,R,"にゃんこ65K",190,91.072,0.596,0,57,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137,-37.164,0,"-라후이-",0.25,-17.644,0,"Floră",-19.018,-44.447,0,"낑깡__",-13.752,-67.248,0,"Ainy4／あいにゃ",18.848,-46.768,0,"ぐだもん",11.752,-63.364,0,"Kenomo",45.045,-106.387,0,"아침땅_",-1.011,-117.36,0,"ディシジョン",-52.897,-98.845,0,0,0,0,0,0,"",0,0,0,0,1966.749,,,,0,0
7,1,1,0,0,0,1,2,1,0,0,1,255,255,6,2057.3,"Slaris",R,13,60,103,-1.971,-0.968,0.032,1.756,-0.132,1.45,-36.485,44.733,82,18,0,4,0,-365.589,312.348,-3.791,0,0,1,3,2,R,"にゃんこ65K",190,91.072,0.596,0,56,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.186,-37.522,0,"-라후이-",-0.644,-17.531,0,"Floră",-20.182,-43.063,0,"낑깡__",-14.404,-67.171,0,"Ainy4／あいにゃ",18.796,-47.212,0,"ぐだもん",12.502,-63.681,0,"Kenomo",44.434,-107.39,0,"아침땅_",-1.002,-118.035,0,"ディシジョン",-52.914,-98.843,0,0,0,0,0,0,"",0,0,0,0,2058.699,,,,0,0
8,1,1,0,0,0,2,2,1,0,0,1,255,255,7,2076.367,"Slaris",R,34,83,134,0.414,0.472,0.392,1.852,0.212,1.295,-36.485,54.095,80,15,5,2,0,78.943,-45.029,15.23,0,0,1,3,2,R,"にゃんこ65K",190,91.072,0.596,3,56,W,Y,2077.435,227,90,129,79,0,145,96,34.283,-13.405,-0.55,0,0.176,438.592,6.284,324.386,-0.23,-36.914,0,"-라후이-",0.216,-17.584,0,"Floră",-18.969,-45.062,0,"낑깡__",-13.699,-67.436,0,"Ainy4／あいにゃ",18.577,-47.162,0,"ぐだもん",9.739,-60.798,0,"Kenomo",43.302,-103.419,119,"아침땅_",-1.009,-117.402,0,"ディシジョン",-52.924,-98.857,0,2082.582,17.437,-97.474,2083.765,6,"Kenomo",17.671,-103.21,1,4,2164.382,2082.504,2087.587,,54,2
9,1,0,0,0,0,0,0,0,0,0,255,255,255,0,2271.544,"kneesohime",R,26,85,138,-1.673,0.463,0.037,1.696,-0.757,1.745,-36.49,15.723,55,45,0,2,0,23.729,-178.466,23.204,0,0,1,0,1,L,"-라후이-",190,87.311,0.496,3,56,W,Y,2272.273,242,47,52,61,7,136,86,11.586,34.653,-0.79,0,0.351,443.794,-331.407,24.456,-0.129,-37.143,0,"あくせる",-0.244,-17.563,0,"にゃんこ65K",-21.149,-51.798,100,"vovopo 보보포",-9.949,-60.713,0,"Parottey",20.973,-45.784,0,"CoalCat",12.697,-62.777,0,"Espressο",53.053,-99.857,0,"「yune」",5.276,-116.152,0,"Metalu",-36.514,-88.863,0,0,0,0,2274.132,2,"にゃんこ65K",-18.568,-48.133,0,0,,,,,24,1
10,1,0,0,0,0,0,1,0,0,0,255,255,255,1,2292.987,"kneesohime",R,3,77,117,0.167,0.557,0.401,1.801,0.63,1.954,-36.49,43.539,91,9,0,0,0,-395.797,0,-9.355,0,0,0,1,4,L,"Ainy4／あいにゃ",188.5,85,0.512,0,60,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.082,-37.817,0,"あくせる",0.076,-17.554,0,"にゃんこ65K",-21.139,-51.019,0,"vovopo 보보포",-10.525,-60.28,0,"Parottey",20.712,-46.62,0,"CoalCat",11.747,-62.445,0,"Espressο",53.672,-100.625,0,"「yune」",2.209,-110.733,0,"Metalu",-34.59,-85.529,0,0,0,0,0,0,"",0,0,0,0,2294.249,,,,0,0
