id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,992.86,"ゆっち一",R,13,92,126,-1.381,-0.386,0.182,1.569,-0.084,1.716,-36.94,22.489,41,59,0,2,0,-367.636,338.886,-1.979,0,0,1,0,2,L,"Sabo_10",185.3,88,0.452,3,157,W,Y,993.842,255,64,77,150,57,145,120,14.939,13.888,0.19,0,0.597,-329.038,-358.011,-150.235,0.105,-37.534,0,"_Chun",-0.068,-17.436,0,"檸檬の残骸",-20.8,-46.854,0,"わかなで",-14.049,-67.025,69,"MODECO",20.545,-45.353,0,"ke ro",13.355,-64.31,0,"「론구」",49.67,-104.072,0,"-つる３-",4.307,-114.801,101,"まととまと",-49.763,-84.857,0,996.609,-14.264,-99.474,1000.276,7,"-つる３-",-15.625,-131.701,1,0,,1003.709,,,131,2
2,1,1,0,0,0,0,0,0,1,0,255,2,255,1,1028.728,"ゆっち一",R,32,87,140,0.985,-0.168,0.235,1.502,0.161,1.499,-36.94,18.807,31,66,3,2,0,208.807,-10.482,13.642,0,0,1,1,1,R,"Megu3568",190,88.251,0.405,3,156,W,Y,1029.824,255,54,94,75,35,145,95,-69.897,30.538,-0.61,0,0.643,-272.694,-33.719,0.689,-0.049,-37.567,0,"_Chun",-0.005,-17.665,0,"檸檬の残骸",-20.886,-48.103,66,"わかなで",-16.787,-66.693,0,"MODECO",18.924,-44.314,0,"ke ro",9.924,-63.43,0,"「론구」",37.663,-90.51,0,"-つる３-",-4.511,-117.475,0,"まととまと",-54.946,-89.484,0,1029.547,0.02,-19.187,1032.859,2,"檸檬の残骸",-12.353,-40.103,0,0,,,1035.223,,66,2
3,1,1,0,0,0,0,1,0,0,1,255,255,2,2,1057.859,"ゆっち一",R,32,74,113,1.923,0.348,0.453,1.799,0.473,1.76,-36.94,47.773,86,14,0,2,0,216.202,-61.46,8.884,0,0,1,2,4,R,"なおｐ--",190,90.37,0.405,3,155,W,Y,1059.088,255,79,87,75,44,145,91,28.035,12.184,-0.8,0,0.68,155.024,-410.054,-33.226,0.16,-37.281,0,"_Chun",-0.117,-17.391,0,"檸檬の残骸",-21.334,-50.188,0,"わかなで",-17.794,-66.991,0,"MODECO",19.241,-44.057,0,"ke ro",10.311,-65.507,77,"「론구」",39.935,-99.037,0,"-つる３-",-12.775,-123.279,114,"まととまと",-54.636,-89.901,0,1063.63,-8.818,-95.192,1064.547,7,"-つる３-",-8.98,-100.501,1,0,,,1060.983,1067.559,386,2
4,1,1,1,0,0,0,1,1,0,0,4,255,255,3,1092.971,"ゆっち一",R,3,69,97,-1.687,-0.158,0.312,1.503,0.038,1.543,-36.94,36.441,46,54,0,1,0,-440.909,0,-35.914,0,0,0,3,3,L,"Fresh825",172.8,80,0.2,0,153,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,-37.766,0,"_Chun",0.357,-17.415,0,"檸檬の残骸",-20.409,-42.809,0,"わかなで",-12.824,-69.205,0,"MODECO",20.066,-42.764,0,"ke ro",12.418,-63.538,0,"「론구」",44.067,-96.685,0,"-つる３-",3.495,-111.484,0,"まととまと",-47.991,-92.543,0,0,0,0,0,0,"",0,0,0,0,1094.248,,,,0,0
5,1,1,1,0,1,0,1,1,0,0,4,255,255,4,1116.309,"ゆっち一",R,0,83,135,0.59,0.172,0.34,1.563,0.247,1.701,-36.94,35.123,41,59,0,0,0,0,0,0,0,0,0,3,3,L,"Fresh825",172.8,80,0.2,0,153,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138,-37.769,0,"_Chun",0.45,-17.319,0,"檸檬の残骸",-20.477,-42.554,0,"わかなで",-14.28,-68.875,0,"MODECO",21.02,-42.964,0,"ke ro",12.634,-63.38,0,"「론구」",43.508,-97.556,0,"-つる３-",3.446,-111.4,0,"まととまと",-48.15,-92.726,0,0,0,0,0,0,"",0,0,0,0,1117.436,,,,0,0
6,1,1,1,0,1,1,1,1,0,0,4,255,255,5,1134.748,"ゆっち一",R,3,81,106,-2.594,-0.894,0.102,1.324,-0.304,1.118,-36.94,25.374,44,56,0,2,0,-481.818,0,-79.727,0,0,1,3,3,L,"Fresh825",172.8,80,0.2,3,153,W,Y,1135.911,211,124,108,107,211,145,85,-59.722,44.288,-0.8,0,0.17,31.589,300.074,148.979,-0.003,-37.499,0,"_Chun",0.112,-17.322,0,"檸檬の残骸",-19.597,-45.658,112,"わかなで",-15.097,-67.798,0,"MODECO",21.256,-45.312,0,"ke ro",11.764,-63.263,98,"「론구」",43.455,-97.559,0,"-つる３-",3.53,-111.362,0,"まととまと",-47.193,-93.09,0,1135.7,-0.839,-20.404,1138.026,2,"檸檬の残骸",-18.264,-38.225,0,4,1183.456,1140.562,,,346,2
7,1,0,1,0,0,0,0,0,0,0,255,255,255,0,1325.809,"Muna_328",R,0,99,140,-2.07,0.008,0.012,2.229,-0.874,1.571,-36.74,32.945,84,12,4,1,0,-23.614,4.542,2.973,0,0,0,0,3,L,"わかなで",160,94.33,0.2,0,147,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209,-37.197,0,"Megu3568",-0.135,-18.205,0,"Sabo_10",-20.851,-42.689,0,"Fresh825",-10.034,-61.169,0,"なおｐ--",17.201,-42.291,0,"schmoneymikey",12.955,-59.267,0,"Dοpi",46.684,-90.818,0,"うよすま",4.487,-105.668,0,"하루（Haru）",-39.562,-86.373,0,0,0,0,0,0,"",0,0,0,0,1326.887,,,,0,0
8,1,0,1,0,1,0,0,0,0,0,255,255,255,1,1343.494,"Muna_328",R,6,87,129,2.696,-1.071,0.324,2.079,0.576,0.994,-36.74,31.122,90,7,3,1,0,384.467,0,19.145,0,0,0,0,3,L,"わかなで",160,94.33,0.2,0,147,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311,-37.372,0,"Megu3568",0.27,-18.088,0,"Sabo_10",-18.896,-44.201,0,"Fresh825",-9.997,-61.092,0,"なおｐ--",17.273,-42.357,0,"schmoneymikey",12.881,-59.119,0,"Dοpi",44.887,-86.776,0,"うよすま",3.017,-105.505,0,"하루（Haru）",-42.494,-91.768,0,0,0,0,0,0,"",0,0,0,0,1344.609,,,,0,0
9,1,0,1,0,2,0,0,0,0,0,255,255,255,2,1362.476,"Muna_328",R,0,94,140,1.087,-0.522,0.306,2.149,0.491,1.266,-36.74,34.298,85,11,4,0,0,-19.493,-21.037,3.958,0,0,0,0,3,L,"わかなで",160,94.33,0.2,0,47,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247,-37.327,0,"Megu3568",0.131,-18.035,0,"Sabo_10",-18.654,-42.704,0,"Fresh825",-10.007,-61.128,0,"なおｐ--",17.697,-42.656,0,"schmoneymikey",12.851,-59.238,0,"Dοpi",45.584,-86.565,0,"うよすま",4.746,-104.537,0,"하루（Haru）",-42.026,-90.957,0,0,0,0,0,0,"",0,0,0,0,1363.554,,,,0,0
10,1,0,1,0,2,1,0,0,0,0,255,255,255,3,1381.493,"Muna_328",R,0,85,138,0.05,-0.862,0.215,2.098,0.069,1.071,-36.74,29.192,87,13,0,0,0,-38.595,-34.895,9.651,0,0,0,0,3,L,"わかなで",160,94.33,0.2,0,47,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283,-37.39,0,"Megu3568",-0.021,-18.17,0,"Sabo_10",-19.683,-41.138,0,"Fresh825",-9.98,-61.161,0,"なおｐ--",18.058,-42.992,0,"schmoneymikey",12.868,-59.225,0,"Dοpi",42.542,-86.495,0,"うよすま",2.865,-99.946,0,"하루（Haru）",-39.929,-93.999,0,0,0,0,0,0,"",0,0,0,0,1382.519,,,,0,0
