id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1294.895,"SFIDA",L,28,85,138,-2.245,-0.016,-0.455,1.767,-0.891,1.527,-36.953,27.66,87,13,0,1,0,-56.958,-59.39,0,-0.433,-19.442,0,0,5,L,"shimenawa",175.1,94.576,0.295,0,54,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.36,-37.811,0,"Azuner",-0.301,-17.63,0,"甲斐野柊太",-17.952,-44.235,0,"柴山犬吉",-12.945,-64.652,0,"눈꽃",20.525,-46.632,0,"coder_",11.582,-65.68,0,"YukihiroD",42.68,-97.041,0,"Amellaid",8.516,-112.451,0,"소솨소솨",-36.321,-100.035,0,0,0,0,0,0,"",0,0,0,0,1295.222,,,,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,1312.494,"SFIDA",L,28,90,140,-2.175,0.213,-0.445,1.803,-0.843,1.651,-36.953,33.168,88,12,0,2,0,-63.895,-69.051,0,0,0,1,0,5,L,"shimenawa",175.1,94.576,0.295,3,53,W,Y,1313.568,148,81,107,57,17,145,91,16.882,18.687,-0.53,0,0.297,314.098,-217.691,-173.039,-0.159,-37.768,0,"Azuner",-0.215,-17.674,0,"甲斐野柊太",-18.466,-44.378,77,"柴山犬吉",-12.806,-64.736,0,"눈꽃",20.351,-46.696,0,"coder_",11.709,-65.59,0,"YukihiroD",42.764,-96.974,0,"Amellaid",8.53,-113.434,0,"소솨소솨",-33.331,-95.17,108,1314.422,-20.064,-86.083,1314.872,8,"소솨소솨",-20.339,-87.145,1,0,,,,,18,2
3,1,1,0,0,0,0,0,1,0,0,5,255,255,2,1345.348,"SFIDA",L,13,61,92,1.074,0.305,-0.347,2.084,-0.191,2.295,-36.953,54.284,90,10,0,0,0,318.471,324.046,0,0,0,0,1,0,R,"쟈가리코",190,82,0.501,0,53,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257,-37.807,0,"Azuner",0.15,-17.754,0,"甲斐野柊太",-19.082,-39.729,0,"柴山犬吉",-13.924,-59.531,0,"눈꽃",19.044,-48.707,0,"coder_",6.206,-66.5,0,"YukihiroD",39.283,-105.652,0,"Amellaid",-10.916,-123.387,0,"소솨소솨",-44.243,-98.8,0,0,0,0,0,0,"",0,0,0,0,1344.022,,,,0,0
4,1,1,0,0,0,1,0,1,0,0,5,255,255,3,1362.084,"SFIDA",L,3,48,84,0.31,0.741,-0.409,2.017,-0.717,2.096,-36.953,80.162,86,14,0,2,0,326.245,0,0,0,0,1,1,0,R,"쟈가리코",190,82,0.501,3,53,W,Y,1363.436,217,158,82,85,49,145,130,13.547,26.025,0.34,0,0.572,95.953,-153.587,-16.598,-0.061,-37.569,0,"Azuner",0.217,-17.731,0,"甲斐野柊太",-16.037,-42.489,78,"柴山犬吉",-13.887,-59.56,0,"눈꽃",18.576,-48.43,0,"coder_",8.167,-64.456,0,"YukihiroD",39.331,-105.623,0,"Amellaid",-10.951,-123.264,0,"소솨소솨",-45.901,-98.242,122,0,0,0,1364.239,8,"소솨소솨",-38.61,-104.467,0,0,,,,,18,1
5,1,1,0,0,0,0,1,1,0,0,5,255,255,4,1391.53,"SFIDA",L,34,88,140,-1.652,1.527,-0.393,2.063,-0.601,2.496,-36.953,38.746,86,14,0,4,0,-85.12,-69.765,0,0,0,1,2,4,L,"わだ、、",190,80,0.498,0,53,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.019,-37.852,0,"Azuner",-0.099,-17.568,0,"甲斐野柊太",-18.394,-41.229,0,"柴山犬吉",-10.272,-61.623,0,"눈꽃",20.021,-46.416,0,"coder_",11.763,-65.002,0,"YukihiroD",45.623,-107.104,0,"Amellaid",9.006,-120.128,0,"소솨소솨",-35.322,-91.529,0,0,0,0,0,0,"",0,0,0,0,1389.922,,,,0,0
6,1,1,0,0,0,1,1,1,0,0,5,255,255,5,1407.738,"SFIDA",L,34,89,140,-2.045,2.038,-0.426,2.158,-0.756,2.804,-36.953,41.56,85,11,4,2,0,-86.027,-83.114,0,0,0,1,2,4,L,"わだ、、",190,80,0.498,3,50,W,Y,1408.817,255,162,97,103,44,145,114,101.159,-19.723,0.14,0,0.388,-496.451,-56.948,-130.407,-0.335,-37.736,0,"Azuner",-0.312,-17.682,0,"甲斐野柊太",-15.756,-45.854,0,"柴山犬吉",-10.289,-61.523,0,"눈꽃",20.249,-47.172,0,"coder_",13.25,-64.704,0,"YukihiroD",45.529,-107.2,0,"Amellaid",8.136,-119.663,0,"소솨소솨",-30.647,-86.121,0,1416.589,-7.434,-3.854,0,0,"",0,0,0,0,,,,,0,3
7,1,1,0,0,0,2,1,1,0,0,5,255,255,6,1440.899,"SFIDA",L,5,76,113,1.279,-0.181,-0.119,1.731,0.447,1.496,-36.953,35.443,61,39,0,0,0,61.224,0,0,0,0,1,2,4,L,"わだ、、",190,80,0.498,0,52,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352,-37.694,0,"Azuner",-0.057,-18.184,0,"甲斐野柊太",-15.823,-42.072,0,"柴山犬吉",-7.469,-61.766,0,"눈꽃",20.042,-46.679,0,"coder_",11.268,-64.165,0,"YukihiroD",46.362,-107.631,0,"Amellaid",6.798,-120.866,0,"소솨소솨",-31.815,-89.17,0,0,0,0,0,0,"",0,0,0,0,1439.272,,,,0,0
8,1,1,0,0,0,0,2,1,0,0,5,255,255,7,1466.255,"SFIDA",L,34,74,125,-3.079,2.688,-0.483,2.211,-1.205,3.062,-36.953,73.102,83,17,0,1,0,-85.072,-73.647,0,0,0,0,3,7,R,"ByeolBam",175.3,90,0.5,0,52,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.849,-38.801,0,"Azuner",0.03,-20.969,0,"甲斐野柊太",-16.393,-42.603,0,"柴山犬吉",-16.055,-62.218,0,"눈꽃",20.018,-46.884,0,"coder_",3.751,-65.013,0,"YukihiroD",35.017,-95.942,0,"Amellaid",-10.113,-112.388,0,"소솨소솨",-44.354,-95.938,0,0,0,0,0,0,"",0,0,0,0,1464.289,1469.273,,,0,0
9,1,1,0,0,1,0,2,0,1,0,255,5,255,8,1489.082,"SFIDA",L,27,86,140,0.151,-0.111,-0.216,1.733,0.219,1.407,-36.953,22.083,59,41,0,0,0,-103.3,-128.392,0,0,0,0,3,7,R,"ByeolBam",175.3,90,0.5,0,52,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107,-37.903,0,"Azuner",0.037,-17.69,0,"甲斐野柊太",-18.706,-44.288,0,"柴山犬吉",-15.992,-62.251,0,"눈꽃",22.212,-49.126,0,"coder_",5.792,-66.614,0,"YukihiroD",34.946,-95.98,0,"Amellaid",-10.451,-115.254,0,"소솨소솨",-43.106,-93.979,0,0,0,0,0,0,"",0,0,0,0,1486.989,1491.953,,,0,0
10,1,1,0,0,1,1,2,0,1,0,255,5,255,9,1509.455,"SFIDA",L,13,65,94,1.687,-0.756,-0.263,1.885,-0.048,1.753,-36.953,47.733,88,12,0,2,0,332.457,314.075,0,0,0,1,3,7,R,"ByeolBam",175.3,90,0.5,3,81,W,Y,1510.446,151,141,73,55,40,138,127,16,-0.165,0.48,0,0.325,-314.258,485.953,136.894,-0.013,-37.697,0,"Azuner",0.263,-17.685,0,"甲斐野柊太",-18.182,-44.089,0,"柴山犬吉",-15.749,-62.351,0,"눈꽃",22.428,-49.184,0,"coder_",9.35,-65.903,0,"YukihiroD",35.029,-95.913,0,"Amellaid",-7.983,-115.319,95,"소솨소솨",-45.515,-95.882,0,1510.556,-7.986,-111.705,1510.822,7,"Amellaid",-7.703,-110.119,0,0,1539.056,,1514.492,,274,1
