id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1483.777,"Riyaj",R,34,73,125,2.849,2.404,0.434,2.261,1.09,2.85,-36.788,59.234,84,15,1,1,0,98.645,-98.215,4.423,0,0,0,0,5,R,"Yaksok~",173.3,80,0.332,0,81,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059,-37.375,0,"encounter v",0.004,-17.51,0,"쟈가리코",-21.358,-47.576,0,"ddil_ddil69",-13.278,-64.058,0,"わだ、、",16.596,-45.324,0,"muyang_",13.145,-63.552,0,"_송글_",40.607,-89.156,0,"ByeolBam",-1.947,-109.861,0,"Po_cari",-41.471,-87.979,0,0,0,0,0,0,"",0,0,0,0,1484.385,,,,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,1501.136,"Riyaj",R,26,89,140,-0.354,0.102,0.125,1.878,-0.348,1.492,-36.788,15.691,41,59,0,0,0,136.59,-160.925,2.585,0,0,0,0,5,R,"Yaksok~",173.3,80,0.332,0,81,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108,-37.653,0,"encounter v",-0.045,-17.543,0,"쟈가리코",-21.58,-47.064,0,"ddil_ddil69",-12.598,-64.17,0,"わだ、、",17.732,-46.234,0,"muyang_",12.976,-63.895,0,"_송글_",40.767,-89.383,0,"ByeolBam",-2.504,-112.154,0,"Po_cari",-41.498,-88.013,0,0,0,0,0,0,"",0,0,0,0,1501.616,,,,0,0
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,1517.093,"Riyaj",R,10,77,105,-2.951,-1.005,-0.05,1.923,-1.086,1.652,-36.788,18.537,90,10,0,1,0,-97.339,400,10.082,-0.671,-17.484,0,0,5,R,"Yaksok~",173.3,80,0.332,0,81,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.065,-37.858,0,"encounter v",-0.067,-17.559,0,"쟈가리코",-21.255,-47.402,0,"ddil_ddil69",-12.416,-64.252,0,"わだ、、",18.215,-46.602,0,"muyang_",12.973,-63.912,0,"_송글_",40.585,-89.621,0,"ByeolBam",-6.822,-112.51,0,"Po_cari",-41.479,-87.983,0,0,0,0,0,0,"",0,0,0,0,1517.749,,,,0,0
4,1,1,0,0,2,1,0,0,0,0,255,255,255,3,1531.826,"Riyaj",R,10,76,106,0.306,-0.575,0.369,2.003,0.215,1.841,-36.788,33.331,82,18,0,2,0,-46.246,369.987,4.927,0,0,1,0,5,R,"Yaksok~",173.3,80,0.332,3,81,W,Y,1532.852,237,121,124,91,58,145,98,-4.135,8.388,-0.12,0,0.198,-157.696,469.389,-149.112,-0.017,-37.299,0,"encounter v",-0.007,-17.735,0,"쟈가리코",-21.136,-47.353,78,"ddil_ddil69",-12.789,-63.702,100,"わだ、、",17.614,-46.527,0,"muyang_",12.941,-63.764,0,"_송글_",40.773,-89.438,0,"ByeolBam",-3.718,-112.086,0,"Po_cari",-41.512,-88.019,0,1532.282,-1.071,-27.461,1534.737,3,"ddil_ddil69",-5.701,-65.448,0,0,,,,,98,2
5,1,1,0,0,0,0,1,0,0,0,255,255,255,4,1578.922,"Riyaj",R,10,76,105,-1.049,-0.749,0.106,1.914,-0.293,1.633,-36.788,19.213,47,53,0,0,0,-95.864,400,8.148,0,0,0,1,4,L,"Kr_Luna",190,95.256,0.504,0,80,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031,-37.64,0,"encounter v",0.035,-17.552,0,"쟈가리코",-20.892,-47.799,0,"ddil_ddil69",-10.351,-65.16,0,"わだ、、",20.534,-47.712,0,"muyang_",14.167,-64.216,0,"_송글_",45.55,-95.004,0,"ByeolBam",7.203,-115.379,0,"Po_cari",-39.061,-87.559,0,0,0,0,0,0,"",0,0,0,0,1579.507,,,,0,0
6,1,1,0,0,0,1,1,0,0,0,255,255,255,5,1595.955,"Riyaj",R,5,75,111,-1.877,0.622,-0.004,2.094,-0.632,2.022,-36.788,22.475,87,13,0,2,0,-99.451,22.616,10.012,0,0,1,1,4,L,"Kr_Luna",190,95.256,0.504,3,79,W,Y,1596.927,135,100,143,77,42,141,104,4.826,-25.464,-0.03,0,0.027,132.173,91.999,-89.65,-0.179,-37.344,0,"encounter v",-0.177,-17.727,0,"쟈가리코",-20.824,-47.748,76,"ddil_ddil69",-10.914,-65.067,0,"わだ、、",19.987,-47.853,95,"muyang_",13.878,-64.345,0,"_송글_",45.201,-94.043,0,"ByeolBam",7.988,-116.339,0,"Po_cari",-39.102,-87.642,0,1597.634,15.704,-54.204,1597.87,4,"わだ、、",14.316,-51.184,0,0,,,,,38,1
7,1,1,0,0,0,0,2,0,0,0,255,255,255,6,1655.85,"Riyaj",R,26,90,140,0.011,0.147,0.165,1.88,-0.165,1.513,-36.788,14.245,47,53,0,0,0,135.232,-200,4.185,0,0,1,2,0,R,"Penguin_iDOL",190,80,0.25,0,71,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115,-37.482,0,"encounter v",-0.037,-17.559,0,"쟈가리코",-21.451,-48.393,0,"ddil_ddil69",-11.543,-61.795,0,"わだ、、",19.561,-47.562,0,"muyang_",13.757,-64.388,0,"_송글_",37.123,-83.642,0,"ByeolBam",-6.133,-112.181,0,"Po_cari",-39.075,-86.164,0,0,0,0,0,0,"",0,0,0,0,1656.64,,,,0,0
8,1,1,0,0,0,1,2,0,0,0,255,255,255,7,1674.619,"Riyaj",R,10,75,104,-2.19,-0.077,0.041,2.146,-0.802,2.134,-36.788,32.378,92,8,0,2,0,-74.492,400,10.825,0,0,1,2,0,R,"Penguin_iDOL",190,80,0.25,3,71,W,Y,1675.907,255,75,129,72,43,145,117,21.853,25.719,0.79,0,0.317,7.347,463.269,5.54,0.066,-37.765,0,"encounter v",-0.518,-17.734,0,"쟈가리코",-21.624,-48.384,0,"ddil_ddil69",-11.488,-61.646,0,"わだ、、",18.906,-47.984,0,"muyang_",13.885,-64.405,85,"_송글_",37.056,-83.647,0,"ByeolBam",-4.337,-111.751,0,"Po_cari",-39.106,-86.188,111,1679.803,-55.427,-106.911,1681.919,8,"Po_cari",-56.076,-107.694,1,4,1723.865,1686.344,,,428,2
9,1,0,0,0,0,0,0,0,0,0,255,255,255,0,1855.379,"Penguin_iDOL",R,26,84,136,1.91,1.32,0.379,1.95,0.861,2.169,-36.493,44.607,71,29,0,1,0,-29.496,-200,20.478,0,0,0,0,6,R,"_송글_",175.4,90.478,0.316,0,76,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313,-37.423,0,"mungjungh",0.078,-17.27,0,"HANA_ARASHI",-21.778,-47.349,0,"crani",-14.37,-63.686,0,"Kr_Luna",18.905,-50.915,0,"Yaksok~",10.466,-65.934,0,"si_ho",35.963,-95.996,0,"-KYU-",-0.551,-107.85,0,"SUGUN",-44.565,-92.849,0,0,0,0,0,0,"",0,0,0,0,1855.822,,,,0,0
10,1,0,0,0,1,0,0,0,0,0,255,255,255,1,1869.629,"Penguin_iDOL",R,10,79,119,2.558,0.104,0.43,1.955,0.929,2.152,-36.493,46.21,69,31,0,1,0,104.896,400,30.875,0,0,0,0,6,R,"_송글_",175.4,90.478,0.316,0,76,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.324,-37.62,0,"mungjungh",0.097,-17.285,0,"HANA_ARASHI",-21.132,-47.048,0,"crani",-14.245,-63.667,0,"Kr_Luna",19.924,-49.922,0,"Yaksok~",13.165,-64.592,0,"si_ho",35.988,-96.047,0,"-KYU-",-0.339,-107.544,0,"SUGUN",-44.862,-93.043,0,0,0,0,0,0,"",0,0,0,0,1870.222,,,,0,0
