id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1321.764,"Pring__",R,26,90,140,-0.607,0.27,0.105,1.378,-0.441,1.662,-36.186,16.558,25,75,0,0,0,134.255,-158.611,20.013,0.007,-17.889,0,0,8,L,"NABIMan",190,83.228,0.48,0,106,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.022,-37.568,0,"HalF_HearteD",-0.132,-17.078,0,"Pugeuk",-20.041,-47.472,0,"Rite_",-9.894,-61.681,0,"magimari",17.63,-45.77,0,"alcohol500",13.463,-62.237,0,"horisen",41.663,-101.16,0,"紅さかな",-0.02,-118.373,0,"Pizzallaris",-44.533,-97.51,0,0,0,0,0,0,"",0,0,0,0,1323.805,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,1341.452,"Pring__",R,3,80,105,-0.574,-0.224,0.378,1.413,0.553,1.736,-36.186,33.6,0,100,0,2,0,-436.783,182.976,6.085,0,0,1,0,8,L,"NABIMan",190,83.228,0.48,3,106,W,Y,1342.486,136,154,36,106,91,120,114,-30,16.277,0.22,0,0.213,91.716,261.754,161.866,-0.156,-36.921,0,"HalF_HearteD",-0.127,-16.888,0,"Pugeuk",-19.564,-47.976,85,"Rite_",-9.863,-63.564,85,"magimari",17.679,-45.285,0,"alcohol500",14.015,-61.434,0,"horisen",41.661,-101.119,0,"紅さかな",1.315,-121.078,0,"Pizzallaris",-44.523,-97.523,0,1341.261,-0.542,-22.215,1343.203,3,"Rite_",-10.696,-56.75,0,0,,,,,74,2
3,1,1,0,0,0,0,1,0,0,0,255,255,255,2,1368.945,"Pring__",R,13,88,111,-2.286,-1.282,0.12,1.379,-0.559,1.229,-36.186,16.504,13,87,0,4,0,-301.765,398.67,8.457,0,0,1,1,2,L,"ʚEveɞ",190,80,0.404,0,105,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128,-37.429,0,"HalF_HearteD",-0.05,-16.749,0,"Pugeuk",-19.445,-47.436,0,"Rite_",-12.921,-63.065,0,"magimari",17.605,-45.83,0,"alcohol500",11.015,-63.041,0,"horisen",41.249,-101.336,0,"紅さかな",0.713,-120.533,0,"Pizzallaris",-44.519,-97.521,0,0,0,0,0,0,"",0,0,0,0,1369.065,,,,0,0
4,1,1,0,0,0,1,1,0,0,0,255,255,255,3,1387.952,"Pring__",R,10,89,114,1.141,-1.292,0.358,1.402,0.489,1.28,-36.186,27.115,49,51,0,2,0,-1.647,400,9.893,0,0,1,1,2,L,"ʚEveɞ",190,80,0.404,3,104,W,Y,1388.953,255,156,127,88,48,145,116,-30,-39.737,0.89,0,0.626,112.785,325.323,109.603,-0.08,-36.891,0,"HalF_HearteD",-0.072,-16.961,0,"Pugeuk",-19.133,-47.18,80,"Rite_",-12.76,-62.778,0,"magimari",17.803,-45.69,101,"alcohol500",11.208,-63.17,0,"horisen",41.183,-101.307,0,"紅さかな",4.074,-119.903,0,"Pizzallaris",-44.522,-97.53,0,1387.718,1.04,-22.274,1389.07,4,"magimari",18.013,-42.769,0,2,,,,,76,2
5,1,1,0,0,0,0,2,0,0,0,255,255,255,4,1413.41,"Pring__",R,3,72,100,-0.339,-0.46,0.489,1.434,0.586,1.349,-36.186,47.266,0,100,0,0,0,-450.548,0,-4.347,0,0,0,2,0,R,"인생최패망자",190,80,0.351,0,104,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.013,-37.653,0,"HalF_HearteD",-0.071,-16.775,0,"Pugeuk",-21.336,-48.316,0,"Rite_",-14.322,-60.735,0,"magimari",16.648,-45.677,0,"alcohol500",9.941,-62.083,0,"horisen",41.426,-100.387,0,"紅さかな",-0.25,-116.987,0,"Pizzallaris",-44.359,-97.453,0,0,0,0,0,0,"",0,0,0,0,1413.688,,,,0,0
6,1,1,0,0,0,1,2,0,0,0,255,255,255,5,1430.206,"Pring__",R,13,84,108,0.529,-0.78,0.576,1.535,0.856,1.568,-36.186,44.422,50,50,0,0,0,-357.848,342.284,0.055,0,0,0,2,0,R,"인생최패망자",190,80,0.351,0,104,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.051,-37.547,0,"HalF_HearteD",-0.035,-16.811,0,"Pugeuk",-21.61,-48.474,0,"Rite_",-14.369,-60.615,0,"magimari",16.674,-45.768,0,"alcohol500",9.986,-62.404,0,"horisen",41.414,-100.374,0,"紅さかな",-0.555,-117.085,0,"Pizzallaris",-44.358,-97.456,0,0,0,0,0,0,"",0,0,0,0,1430.461,,,,0,0
7,1,1,0,0,0,2,2,0,0,0,255,255,255,6,1445.78,"Pring__",R,32,88,140,-1.003,0.845,0.147,1.52,-0.711,2.123,-36.186,15.189,0,100,0,2,0,171.379,-105.743,21.761,0,0,1,2,0,R,"인생최패망자",190,80,0.351,3,104,W,Y,1446.841,255,74,128,106,60,145,97,60.696,41.941,-0.48,0,0.403,220.81,27.145,19.881,-0.076,-37.267,0,"HalF_HearteD",-0.294,-17.197,0,"Pugeuk",-21.729,-48.732,0,"Rite_",-14.311,-60.45,0,"magimari",16.526,-45.729,0,"alcohol500",10.929,-62.07,85,"horisen",41.455,-100.394,0,"紅さかな",0.111,-117.193,0,"Pizzallaris",-44.359,-97.475,113,1451.636,-44.543,-66.453,1453.288,8,"Pizzallaris",-47.935,-68.389,1,0,,1456.767,,,265,2
8,1,1,0,0,0,0,2,0,1,0,255,0,255,7,1487.089,"Pring__",R,32,87,140,0.699,0.913,0.321,1.502,0.1,2.064,-36.186,33.169,0,100,0,2,0,176.586,-157.811,6.483,0,0,1,3,1,R,"sano jpn",190,92.118,0.561,3,63,W,Y,1488.167,142,70,141,78,25,145,130,31.663,18.985,0.34,0.048,0.315,147.929,187.583,-37.157,-0.131,-37.032,0,"HalF_HearteD",-0.056,-16.724,0,"Pugeuk",-21.856,-48.39,0,"Rite_",-14.529,-59.686,0,"magimari",16.306,-47.149,0,"alcohol500",7.198,-62.044,0,"horisen",42.475,-101.102,0,"紅さかな",-5.38,-122.379,0,"Pizzallaris",-50.638,-98.984,0,1492.459,-42.902,-128.08,0,0,"",0,0,0,0,,1498.12,1492.114,1496.962,8,4
9,1,1,2,0,0,0,2,0,0,0,255,255,255,8,1532.895,"Pring__",R,13,81,106,-0.335,-0.613,0.427,1.552,0.393,1.605,-36.186,33.24,21,79,0,0,0,-357.797,334.869,6.251,0,0,0,4,4,R,"P0TA0",190,96.215,0.525,0,101,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114,-37.586,0,"HalF_HearteD",-0.195,-16.822,0,"Pugeuk",-20.537,-46.974,0,"Rite_",-15.223,-62.191,0,"magimari",17.052,-45.292,0,"alcohol500",9.913,-62.96,0,"horisen",41.826,-101.415,0,"紅さかな",-0.085,-119.408,0,"Pizzallaris",-49.299,-102.745,0,0,0,0,0,0,"",0,0,0,0,1532.957,,,,0,0
10,1,1,2,0,0,1,2,0,0,0,255,255,255,9,1548.219,"Pring__",R,10,87,113,-0.67,-0.919,0.253,1.512,-0.147,1.517,-36.186,26.527,55,45,0,0,0,-90.035,400,10.747,0,0,1,4,4,R,"P0TA0",190,96.215,0.525,0,101,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.088,-37.636,0,"HalF_HearteD",-0.319,-16.731,0,"Pugeuk",-20.704,-47.099,0,"Rite_",-15.24,-62.207,0,"magimari",16.202,-45.881,0,"alcohol500",11.061,-61.933,0,"horisen",41.886,-101.537,0,"紅さかな",0.323,-119.563,0,"Pizzallaris",-49.291,-102.752,0,0,0,0,0,0,"",0,0,0,0,1548.351,,,,0,0
