id,type,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,manual,sH,sV,gyro,plx,plz,bIdx,order1Name,order2Name,order3Name,order4Name,order5Name,order6Name,order7Name,order8Name,order9Name,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,bSwing,hSec,rotS,rotL,shS,lgS,prepS,gripPen,batSpd,ev,ldeg,sdeg,launchPosX,launchPosY,launchPosZ,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,ltSec,lx,lz,cSec,cPos,cx,cy,cz,1BSafe,tag,cpSec,bTo1Sec,bTo2Sec,bTo3Sec,bToHSec,r1To2Sec,r1To3Sec,r1ToHSec,r2To3Sec,r2ToHSec,r3ToHSec,r1LeaveSec,r2LeaveSec,r3LeaveSec,out1Sec,out1BatterIndex,out1PrevBase,out1Code,out1Ass,out2Sec,out2BatterIndex,out2PrevBase,out2Code,out2Ass,out3Sec,out3BatterIndex,out3PrevBase,out3Code,out3Ass,ball1Sec,ball1Pos,ball2Sec,ball2Pos,ball3Sec,ball3Pos,ballHSec,ballHPos,PitchPPosX,PitchPPosZ,PitchCPosX,PitchCPosZ,Pitch1BPosX,Pitch1BPosZ,Pitch2BPosX,Pitch2BPosZ,Pitch3BPosX,Pitch3BPosZ,PitchSSPosX,PitchSSPosZ,PitchLFPosX,PitchLFPosZ,PitchCFPosX,PitchCFPosZ,PitchRFPosX,PitchRFPosZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,PGetSec,PGetX,PGetZ,CGetSec,CGetX,CGetZ,1BGetSec,1BGetX,1BGetZ,2BGetSec,2BGetX,2BGetZ,3BGetSec,3BGetX,3BGetZ,SSGetSec,SSGetX,SSGetZ,LFGetSec,LFGetX,LFGetZ,CFGetSec,CFGetX,CFGetZ,RFGetSec,RFGetX,RFGetZ,PThrSec,PThrX,PThrZ,CThrSec,CThrX,CThrZ,1BThrSec,1BThrX,1BThrZ,2BThrSec,2BThrX,2BThrZ,3BThrSec,3BThrX,3BThrZ,SSThrSec,SSThrX,SSThrZ,LFThrSec,LFThrX,LFThrZ,CFThrSec,CFThrX,CFThrZ,RFThrSec,RFThrX,RFThrZ,errPosDelta,result,swPreDeg,swTargetDeg,swApproachDeg,swCorr,swSource,swProximity,swVRawDeg,swVAdjustedDeg,swVMotionDeg,swVClosestDeg,swVYShrink,swGeometryDeg,balk,cPlr,sb2Sec,sb3Sec,sbhSec,ass,remarks
1,,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1158.974,"白霜らいふ",R,26,92,140,1.118,-1.026,0.217,1.506,0.53,0.826,-36.596,8.412,50,50,0,2,"BA+|BA-",-60.359,-200,41.613,0,0,0,"紅さかな","Pring__","-Alta-","mochi_2929","HalF_HearteD","Pugeuk","Rite_","ame_3","alcohol500",7,R,"紅さかな",172.7,86,0.452,3,93,W,Y,1,1160.034,255,123,144,99,62,,145,116,-30,-27.057,0.206,0.597,-20.329,0.16,0,0.223,-426.733,40.079,-300.773,1160.022,0.679,-21.255,1161.228,4,10.842,2.105,-41.176,0,0,,1165.191,,,,,,,,,,,,,1164.334,0,,147,16,,,,,,,,,,,,,,,,,,,0.04,-37.42,0.145,-16.835,-22.118,-48.803,-16.597,-62.62,15.769,-44.128,9.544,-65.635,36.068,-91.513,0.895,-110.345,-56.154,-106.258,0.181,-36.837,,"P0TA0",0.097,-17.002,,"ʚEveɞ",-22.254,-48.822,88,"Ѕeyeon",-17.137,-64.451,,"인생최패망자",15.474,-43.639,104,"ibqrqki",8.966,-65.064,,"sano jpn",36.067,-91.508,,"カズティー",0.893,-110.341,,"NABIMan",-53.022,-101.167,,1167.805,-0.431,-38.039,,,,1163.699,-19.428,-39.479,,,,1161.26,11.445,-42.344,,,,,,,,,,,,,,,,,,,1166.965,-13.467,-39.113,,,,1162.527,5.512,-41.115,,,,,,,,,,,,,"",2,,,,,,,,,,,,,0,"인생최패망자",,,,50,""
2,,1,1,0,0,0,0,1,0,0,0,255,255,255,1,1185.158,"白霜らいふ",R,26,87,140,-0.918,0.797,0.096,1.581,-0.423,1.883,-36.596,8.144,50,50,0,0,"",20.98,-200,31.672,0,0,1,"=","=","=","=","=","=","=","=","=",5,L,"Pring__",175.1,90.089,0.448,,93,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018,-37.454,-0.072,-16.89,-21.665,-47.777,-11.423,-65.291,19.14,-45.895,13.358,-64.365,40.299,-93.915,0.768,-110.355,-45.943,-97.689,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1189.599,-0.113,-37.471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
3,,1,1,0,0,0,1,1,0,0,0,255,255,255,2,1201.317,"白霜らいふ",R,3,76,106,-2.079,0.104,0.504,1.614,-0.275,1.693,-36.596,38.376,97,3,0,1,"",-332.138,7.856,-18.175,0,0,1,"=","=","=","=","=","=","=","=","=",5,L,"Pring__",175.1,90.089,0.448,,93,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034,-37.418,0.035,-16.998,-21.843,-47.915,-11.479,-65.512,19.107,-45.872,13.46,-64.443,40.29,-94.317,0.776,-110.351,-46.664,-100.56,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1206.998,0.045,-37.445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
4,,1,1,0,0,1,1,1,0,0,0,255,255,255,3,1219.99,"白霜らいふ",R,29,75,126,0.472,-0.16,0.143,1.309,0.469,1.479,-36.596,10.504,51,49,0,0,"",-175.17,-38.132,25.927,0,0,1,"=","=","=","=","=","=","=","=","=",5,L,"Pring__",175.1,90.089,0.448,,93,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.099,-37.541,-0.104,-16.991,-21.861,-48.109,-12.206,-65.485,19.724,-46.624,13.487,-64.065,40.693,-94.659,0.779,-110.328,-43.117,-102.759,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1224.646,-0.18,-37.669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
5,,1,1,0,0,1,2,1,0,0,0,255,255,255,4,1267.575,"白霜らいふ",R,10,83,110,0.875,-0.682,0.259,1.792,0.374,1.777,-36.596,27.77,97,3,0,2,"",0,400,21.428,0,0,1,"=","=","=","=","=","=","=","=","=",5,L,"Pring__",175.1,90.089,0.448,5,91,W,Y,1,1268.555,187,210,100,118,62,,145,114,26.534,8.445,0.165,0.8,-20.983,0.81,0,0.456,485.978,-248.11,-11.897,,,,1274.005,7,-9.629,2.927,-119.888,0,0,,1274.031,,,,,,,,,,,,,1274.039,1,,456,0,,,,,,,,,,,,,,,,,,,0.099,-37.711,0.108,-16.944,-21.955,-48.2,-13.011,-65.246,20.135,-47.76,13.269,-64.357,42.644,-99.788,0.518,-110.374,-46.342,-105.343,0.508,-37.009,,"P0TA0",0.079,-16.964,,"ʚEveɞ",-21.974,-48.344,,"Ѕeyeon",-13.317,-66.707,,"인생최패망자",20.132,-47.756,,"ibqrqki",13.167,-64.022,85,"sano jpn",43.944,-102.255,,"カズティー",0.521,-110.357,91,"NABIMan",-45.817,-105.698,,1281.282,0.008,-38.896,,,,,,,,,,,,,1278.443,-0.891,-62.759,,,,1274.046,-9.778,-120.686,,,,,,,,,,,,,,,,,,,1279.984,-0.786,-61.168,,,,1276.024,-7.739,-108.467,,,,"",1,8.791,8.791,5.288,0,2,0.173,51.227,38.416,60.425,50.79,0.055,3.388,0,"カズティー",,,,224,""
6,,1,1,0,0,0,0,2,0,0,0,255,255,255,5,1293.624,"白霜らいふ",R,10,75,104,0.781,-0.391,0.255,1.818,0.241,1.853,-36.596,34.02,100,0,0,0,"",53.904,400,13.814,0.143,-15.638,2,"=","=","=","=","=","=","=","=","=",2,L,"-Alta-",189.8,84,0.479,,90,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.046,-37.602,0.119,-16.921,-21.468,-47.691,-12.034,-64.98,19.677,-46.911,13.89,-64.357,39.841,-93.05,0.676,-102.842,-46.582,-101.212,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1297.876,0.159,-37.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
7,,1,1,0,0,0,1,2,0,0,0,255,255,255,6,1307.391,"白霜らいふ",R,26,81,132,2.369,0.094,0.5,1.841,1.07,1.474,-36.596,45.977,88,12,0,1,"",-36.077,-200,4.58,0,0,2,"=","=","=","=","=","=","=","=","=",2,L,"-Alta-",189.8,84,0.479,,90,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.063,-37.646,0.192,-16.928,-21.55,-47.854,-12.5,-65.328,19.86,-47.179,13.088,-64.317,39.81,-93.083,0.674,-102.849,-46.309,-104.363,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1312.139,0.167,-37.219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
8,,1,1,0,0,1,1,2,0,0,0,255,255,255,7,1322.016,"白霜らいふ",R,10,90,128,1.481,-0.934,0.315,1.704,0.636,1.441,-36.596,23.279,95,5,0,2,"",0,400,17.948,0,0,2,"=","=","=","=","=","=","=","=","=",2,L,"-Alta-",189.8,84,0.479,3,90,W,Y,1,1322.915,205,153,128,111,54,,145,125,-15.793,-40.502,0.273,0.64,-20.236,0.75,0,0.508,161.444,-153.776,-98.778,1322.916,1.99,-22.243,1324.305,4,21.52,0.252,-42.364,0,0,,,,,,,,,,,,,,,1327.614,2,,147,16,,,,,,,,,,,,,,,,,,,0.075,-37.695,0.083,-16.91,-21.616,-47.981,-12.531,-65.251,19.729,-47.272,13.083,-64.03,39.945,-92.964,0.529,-104.755,-47.65,-102.944,0.316,-36.936,,"P0TA0",0.083,-16.966,,"ʚEveɞ",-21.544,-47.9,,"Ѕeyeon",-13.079,-66.568,,"인생최패망자",19.771,-47.128,104,"ibqrqki",13.154,-63.796,,"sano jpn",39.462,-93.301,,"カズティー",0.531,-104.82,,"NABIMan",-47.718,-105.263,,,,,,,,1326.941,-19.101,-39.658,,,,1324.291,21.822,-43.498,,,,,,,,,,,,,,,,,,,,,,,,,1325.377,15.807,-42.461,,,,,,,,,,,,,"",2,,,,,,,,,,,,,0,"인생최패망자",,,,18,""
9,SIDE,1,1,0,0,0,0,2,0,0,0,255,255,255,,1328.735,,,,,,,,,,,,,,,,,,,,,,,,3,"=","=","=","=","=","=","=","=","=",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
10,,1,0,0,0,0,0,0,0,0,0,255,255,255,0,1502.874,"Pugeuk",R,29,87,140,0.736,0.679,0.566,1.594,0.522,1.815,-36.587,20.137,67,33,0,2,"",-186.097,-179.255,10.248,0,0,0,"sano jpn","ʚEveɞ","NABIMan","P0TA0","인생최패망자","白霜らいふ","カズティー","ibqrqki","Ѕeyeon",6,R,"sano jpn",170.2,92.118,0.561,5,87,W,Y,1,1503.962,111,94,165,83,39,,137,127,27.035,23.742,0.116,1.097,-19.912,0.58,0.19,0.452,489.231,319.488,-126.9,1509.626,-55.975,-124.698,,,,,,0,0,,1508.746,1513.101,1517.964,1523.712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.225,-37.501,0.035,-16.888,-20.895,-48.087,-14.709,-62.541,21.337,-49.843,11.359,-64.417,49.978,-100.414,-3.515,-120.22,-55.636,-97.211,0.362,-37.126,,"HalF_HearteD",0.03,-16.902,,"-Alta-",-21.044,-48.342,,"Rite_",-14.599,-62.413,,"mochi_2929",21.299,-49.811,,"Pring__",11.401,-64.351,,"alcohol500",48.459,-100.721,,"紅さかな",-3.513,-120.207,,"ame_3",-55.652,-97.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",4,25.826,25.826,9.268,0,2,0.083,84.46,40.551,2.551,83.523,0.063,69.311,0,"",1513.101,1517.964,,0,""
