id,type,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,manual,sH,sV,gyro,plx,plz,bIdx,order1Name,order2Name,order3Name,order4Name,order5Name,order6Name,order7Name,order8Name,order9Name,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,bSwing,hSec,rotS,rotL,shS,lgS,prepS,gripPen,batSpd,ev,ldeg,sdeg,launchPosX,launchPosY,launchPosZ,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,ltSec,lx,lz,cSec,cPos,cx,cy,cz,1BSafe,tag,cpSec,bTo1Sec,bTo2Sec,bTo3Sec,bToHSec,r1To2Sec,r1To3Sec,r1ToHSec,r2To3Sec,r2ToHSec,r3ToHSec,r1LeaveSec,r2LeaveSec,r3LeaveSec,out1Sec,out1BatterIndex,out1PrevBase,out1Code,out1Ass,out2Sec,out2BatterIndex,out2PrevBase,out2Code,out2Ass,out3Sec,out3BatterIndex,out3PrevBase,out3Code,out3Ass,ball1Sec,ball1Pos,ball2Sec,ball2Pos,ball3Sec,ball3Pos,ballHSec,ballHPos,PitchPPosX,PitchPPosZ,PitchCPosX,PitchCPosZ,Pitch1BPosX,Pitch1BPosZ,Pitch2BPosX,Pitch2BPosZ,Pitch3BPosX,Pitch3BPosZ,PitchSSPosX,PitchSSPosZ,PitchLFPosX,PitchLFPosZ,PitchCFPosX,PitchCFPosZ,PitchRFPosX,PitchRFPosZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,PGetSec,PGetX,PGetZ,CGetSec,CGetX,CGetZ,1BGetSec,1BGetX,1BGetZ,2BGetSec,2BGetX,2BGetZ,3BGetSec,3BGetX,3BGetZ,SSGetSec,SSGetX,SSGetZ,LFGetSec,LFGetX,LFGetZ,CFGetSec,CFGetX,CFGetZ,RFGetSec,RFGetX,RFGetZ,PThrSec,PThrX,PThrZ,CThrSec,CThrX,CThrZ,1BThrSec,1BThrX,1BThrZ,2BThrSec,2BThrX,2BThrZ,3BThrSec,3BThrX,3BThrZ,SSThrSec,SSThrX,SSThrZ,LFThrSec,LFThrX,LFThrZ,CFThrSec,CFThrX,CFThrZ,RFThrSec,RFThrX,RFThrZ,errPosDelta,result,swPreDeg,swTargetDeg,swApproachDeg,swCorr,swSource,swProximity,swVRawDeg,swVAdjustedDeg,swVMotionDeg,swVClosestDeg,swVYShrink,swGeometryDeg,balk,cPlr,sb2Sec,sb3Sec,sbhSec,ass,remarks
1,,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1534.607,"HANA_ARASHI",R,26,88,140,-0.239,1.505,0.384,2.422,-0.096,2.258,-36.641,45.763,81,19,0,1,"",-17.569,-200,1.374,0,0,0,"shimenawa","쟈가리코","わだ、、","ByeolBam","Po_cari","Riyaj","encounter v","yumi2012","muyang_",5,L,"shimenawa",175.2,94.576,0.295,,115,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.083,-37.757,-0.015,-17.181,-21.253,-47.745,-11.988,-65.788,21.625,-49.262,13.031,-65.022,45.904,-95.161,0.695,-114.901,-43.565,-92.834,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
2,,1,1,0,0,1,0,0,0,0,0,255,255,255,1,1551.38,"HANA_ARASHI",R,10,83,124,-1.896,1.329,0.292,2.538,-0.833,2.822,-36.641,54.961,77,23,0,1,"",0,400,12.671,0,0,0,"=","=","=","=","=","=","=","=","=",5,L,"shimenawa",175.2,94.576,0.295,,92,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.085,-37.672,0.007,-17.175,-21.229,-47.873,-11.635,-65.89,22.391,-50.693,13.444,-64.706,46.063,-95.322,-0.62,-115.075,-43.61,-92.949,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
3,,1,1,0,0,2,0,0,0,0,0,255,255,255,2,1566.107,"HANA_ARASHI",R,26,88,140,0.711,0.79,0.48,2.304,0.353,1.845,-36.641,37.751,69,31,0,0,"",-42.657,-200,2.608,0,0,0,"=","=","=","=","=","=","=","=","=",5,L,"shimenawa",175.2,94.576,0.295,,92,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.089,-37.536,0.145,-17.068,-20.604,-48.963,-10.9,-66.067,22.283,-50.815,14.245,-64.34,46.037,-95.302,0.491,-116.287,-46.145,-94.115,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
4,,1,1,0,0,2,1,0,0,0,0,255,255,255,3,1580.472,"HANA_ARASHI",R,10,86,128,1.246,0.304,0.59,2.366,0.635,2.208,-36.641,57.606,87,13,0,2,"",-72.42,400,24.366,0,0,0,"=","=","=","=","=","=","=","=","=",5,L,"shimenawa",175.2,94.576,0.295,3,92,W,Y,1,1581.624,159,74,86,49,0,,142,114,-30,3.48,0.213,0.951,-19.839,0.85,0,0.373,-183.708,-300.16,249.21,1579.615,0.123,-21.371,1581.786,3,-2.314,1.238,-63.969,0,0,,1586.9,,,,,,,,,,,,,1586.196,0,,147,256,,,,,,,,,,,1585.586,2,,,,,,,0.061,-37.611,0.015,-17.058,-20.6,-48.953,-10.902,-66.074,22.541,-50.988,12.905,-65.056,46.721,-94.912,-0.291,-116.018,-46.514,-94.635,-0.05,-36.894,,"mungjungh",-0.006,-17.09,,"Kr_Luna",-20.509,-48.916,80,"Yaksok~",-10.897,-66.062,105,"Penguin_iDOL",22.242,-50.868,,"CVPileMaki",12.778,-65.056,,"-KYU-",46.723,-94.923,,"k@ster",-0.314,-116.013,,"SUGUN",-46.456,-94.639,,1589.336,1.527,-36.003,,,,1585.538,-18.242,-41.393,1583.801,-2.399,-64.849,,,,,,,,,,,,,,,,,,,,,,1588.106,-18.033,-39.984,1584.365,-5.734,-63.095,,,,,,,,,,,,,,,,"",2,,,,,,,,,,,,,0,"Yaksok~",,,,258,""
5,,1,1,0,0,0,0,1,0,0,0,255,255,255,4,1606.572,"HANA_ARASHI",R,26,96,140,0.143,-0.521,0.423,2.074,0.086,1.084,-36.641,21.497,87,13,0,0,"",-31.01,-200,6.564,0,0,1,"=","=","=","=","=","=","=","=","=",2,L,"쟈가리코",190,82,0.501,,91,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.137,-37.656,0.057,-17.13,-18.495,-48.734,-10.631,-66.178,21.908,-48.679,15.773,-63.134,47.667,-96.791,6.476,-120.463,-44.71,-95.719,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1610.671,-0.037,-37.556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
6,,1,1,0,0,0,1,1,0,0,0,255,255,255,5,1621.909,"HANA_ARASHI",R,26,94,140,-1.732,-0.215,0.254,2.136,-0.697,1.284,-36.641,18.155,78,22,0,2,"",-48.215,-190.948,5.432,0,0,1,"=","=","=","=","=","=","=","=","=",2,L,"쟈가리코",190,82,0.501,3,91,W,Y,1,1623.027,131,69,82,51,11,,138,82,-30,37.556,-0.377,0.8,-18.961,1,0,0.52,-327.365,-25.996,-62.278,1621.092,-1.344,-20.217,1622.99,2,-18.368,0.14,-42.56,0,0,,1628.41,,,,,,,,,,,,,1626.446,1,,147,0,,,,,,,,,,,1625.862,2,,,,,,,0.005,-37.447,-0.064,-16.988,-19.505,-48.625,-10.676,-66.208,22.074,-48.688,13.72,-64.475,47.249,-96.945,6.481,-120.479,-44.664,-95.804,0.106,-37.04,,"mungjungh",-0.138,-17.062,,"Kr_Luna",-19.277,-48.584,79,"Yaksok~",-10.671,-66.196,,"Penguin_iDOL",21.737,-48.686,,"CVPileMaki",13.65,-64.454,,"-KYU-",47.225,-96.919,,"k@ster",6.477,-120.455,,"SUGUN",-44.78,-95.69,,1628.09,-6.196,-31.203,,,,1624.974,-18.999,-43.461,,,,,,,,,,,,,,,,,,,,,,,,,1627.132,-18.014,-39.482,,,,,,,,,,,,,,,,,,,"",2,,,,,,,,,,,,,0,"Kr_Luna",,,,2,""
7,,1,1,0,0,0,0,2,0,0,0,255,255,255,6,1643.959,"HANA_ARASHI",R,26,91,140,-0.873,0.324,0.348,2.076,-0.263,1.622,-36.641,20.824,91,9,0,0,"",-141.974,-200,36.126,0,0,2,"=","=","=","=","=","=","=","=","=",4,L,"わだ、、",190,85,0.5,,91,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055,-37.589,-0.054,-17.26,-20.373,-47.946,-11.351,-65.959,22.433,-49.318,14.593,-63.913,46.229,-97.375,5.028,-121.938,-47.354,-92.725,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1648.233,-0.133,-37.614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
8,,1,1,0,0,0,1,2,0,0,0,255,255,255,7,1657.639,"HANA_ARASHI",R,10,80,120,0.142,-1.985,0.415,1.989,0.051,0.808,-36.641,23.101,42,58,0,1,"",0,400,-8.509,-0.001,-19.296,2,"=","=","=","=","=","=","=","=","=",4,L,"わだ、、",190,85,0.5,,91,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013,-37.566,-0.069,-17.239,-20.073,-48.323,-10.703,-66.224,22.726,-49.247,15.976,-63.07,46.847,-97.068,5.089,-121.899,-47.558,-92.598,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1661.934,-0.186,-37.633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
9,,1,1,0,0,1,1,2,0,0,0,255,255,255,8,1671.013,"HANA_ARASHI",R,26,96,140,2.019,1.639,0.571,2.295,0.778,2.446,-36.641,47.695,75,25,0,1,"",61.752,-200,-2.265,0,0,2,"=","=","=","=","=","=","=","=","=",4,L,"わだ、、",190,85,0.5,,91,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013,-37.738,-0.04,-17.146,-20.065,-48.283,-10.696,-66.216,22.673,-49.384,16.553,-62.601,46.633,-97.2,5.035,-121.942,-47.67,-92.463,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1674.921,-0.112,-37.516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
10,,1,1,0,0,2,1,2,0,0,0,255,255,255,9,1684.684,"HANA_ARASHI",R,13,81,119,-0.115,-0.01,0.531,2.34,0.591,1.946,-36.641,47.234,68,32,0,2,"",-390.434,312.348,19.801,0,0,2,"=","=","=","=","=","=","=","=","=",4,L,"わだ、、",190,85,0.5,5,91,W,Y,1,1685.86,214,144,139,104,34,,145,116,27.134,-44.921,-0.055,0.945,-19.94,0.13,0,0.414,487.332,-213.044,221.869,1689.38,76.928,-89.218,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037,-37.524,-0.06,-17.118,-20.108,-48.307,-12.27,-65.412,22.565,-49.317,13.862,-64.627,47.323,-97.525,4.941,-121.893,-47.494,-92.583,0.062,-37.001,,"mungjungh",-0.11,-17.119,,"Kr_Luna",-20.127,-48.015,,"Yaksok~",-12.942,-65.975,,"Penguin_iDOL",22.439,-49.294,,"CVPileMaki",7.804,-66.006,,"-KYU-",47.311,-97.514,,"k@ster",4.947,-121.901,,"SUGUN",-47.508,-92.514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",3,-41.313,-41.313,-17.041,0,1,0.605,61.496,45.986,-0.845,89.031,0.056,-50.032,0,"",,,,0,""
