id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,343.159,"Low1_jpn",R,32,80,131,2.802,-1.37,0.385,1.009,0.861,0.872,-36.789,60.469,10,19,71,3,0,172.349,91.549,7.003,0.098,-20.084,0,0,1,R,"-라후이-",190,87.311,0.496,0,63,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145,-37.153,0,"P0TA0",0.051,-16.808,0,"쟈가리코",-21.563,-47.687,0,"芝レイナ",-16.203,-62.669,0,"わだ、、",17.685,-47.251,0,"うるの。",13.249,-64.066,0,"Muna_328",36.448,-97.385,0,"うよすま",-5.648,-122.342,0,"-つる３-",-56.363,-100.31,0,0,0,0,0,0,"",0,0,0,0,345.957,,,,0,6
2,1,1,0,0,0,0,0,1,0,0,1,255,255,1,372.043,"Low1_jpn",R,34,87,140,1.537,-0.401,0.324,1.173,0.575,1.402,-36.789,38.709,13,51,36,1,0,69.456,29.971,1.347,0,0,0,1,4,L,"Ainy4／あいにゃ",188.5,85,0.512,0,63,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.064,-37.525,0,"P0TA0",-0.709,-18.028,0,"쟈가리코",-20.338,-42.238,0,"芝レイナ",-9.197,-61.161,0,"わだ、、",18.821,-44.364,0,"うるの。",12.666,-61.455,0,"Muna_328",52.164,-99.353,0,"うよすま",8.759,-122.631,0,"-つる３-",-37.582,-105.081,0,0,0,0,0,0,"",0,0,0,0,372.724,,,,0,0
3,1,1,0,0,1,0,0,1,0,0,1,255,255,2,395.439,"Low1_jpn",R,32,84,136,3.779,-0.516,0.504,1.166,1.413,1.378,-36.789,64.161,7,64,29,2,0,151.072,72.327,10.56,0,0,1,1,4,L,"Ainy4／あいにゃ",188.5,85,0.512,3,69,W,Y,396.511,255,101,86,85,43,145,107,-4.588,-51.968,0.94,0,0.502,95.343,216.782,49.543,0.056,-36.686,0,"P0TA0",0.069,-16.923,0,"쟈가리코",-20.242,-45.51,0,"芝レイナ",-9.87,-61.002,0,"わだ、、",18.424,-44.748,0,"うるの。",12.827,-61.495,0,"Muna_328",52.267,-99.439,0,"うよすま",10.051,-124.168,0,"-つる３-",-39.882,-108.779,0,396.102,8.507,-25.933,0,0,"",0,0,0,0,,,,,1,3
4,1,1,0,0,1,1,0,1,0,0,1,255,255,3,417.032,"Low1_jpn",R,3,89,126,-0.588,0.125,0.306,1.264,0.492,1.699,-36.789,38.355,8,92,0,2,0,-476.918,0,-5.952,0,0,1,1,4,L,"Ainy4／あいにゃ",188.5,85,0.512,3,69,W,Y,418.158,212,93,78,85,22,145,129,16.98,-9.357,0.53,0,0.502,-41.299,10.361,3.108,0.105,-37.288,0,"P0TA0",-0.04,-16.916,0,"쟈가리코",-20.198,-45.583,70,"芝レイナ",-9.947,-60.918,0,"わだ、、",19.105,-44.669,0,"うるの。",14.229,-62.064,0,"Muna_328",53.124,-98.349,0,"うよすま",10.399,-124.075,115,"-つる３-",-37.512,-108.779,0,0,0,0,421.857,7,"うよすま",16.754,-124.105,0,0,,,,,261,1
5,1,1,0,0,0,0,1,1,0,0,1,255,255,4,448.982,"Low1_jpn",R,3,84,123,-1.416,0.137,0.201,1.267,0.007,1.707,-36.789,33.181,6,94,0,2,0,-500,0,28.469,0,0,0,2,0,R,"Slaris",190,85.704,0.452,3,65,W,Y,449.856,255,130,64,99,46,139,90,111.398,-73.052,0.97,0,0.566,129.795,-504.667,-207.637,-0.341,-37.064,0,"P0TA0",0.12,-16.777,0,"쟈가리코",-20.211,-42.313,0,"芝レイナ",-12.958,-59.432,0,"わだ、、",18.306,-45.151,0,"うるの。",9.916,-62.458,0,"Muna_328",42.546,-98.324,0,"うよすま",-2.953,-121.661,0,"-つる３-",-54.215,-100.54,0,0,0,0,0,0,"",0,0,0,0,,,,,1,3
6,1,1,0,0,0,1,1,1,0,0,1,255,255,5,468.242,"Low1_jpn",R,3,83,108,-3.318,0.586,0.045,1.412,-0.481,2.003,-36.789,14.333,2,98,0,1,0,-490.909,0,26.286,0,0,0,2,0,R,"Slaris",190,85.704,0.452,0,65,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.085,-37.559,0,"P0TA0",-1.398,-19.524,0,"쟈가리코",-20.683,-43.481,0,"芝レイナ",-14.043,-59.789,0,"わだ、、",16.442,-45.643,0,"うるの。",7.694,-62.36,0,"Muna_328",40.988,-95.824,0,"うよすま",-4.765,-122.227,0,"-つる３-",-56.277,-99.022,0,0,0,0,0,0,"",0,0,0,0,468.846,,,,0,0
7,1,1,0,0,1,1,1,1,0,0,1,255,255,6,490.656,"Low1_jpn",R,3,79,105,-1.681,-0.509,0.227,1.249,0.084,1.651,-36.789,26.131,9,91,0,1,0,-419.405,238.638,52.773,-0.965,-17.341,0,2,0,R,"Slaris",190,85.704,0.452,0,65,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.058,-37.5,0,"P0TA0",-1.141,-17.138,0,"쟈가리코",-20.595,-43.2,0,"芝レイナ",-14.053,-59.835,0,"わだ、、",18.146,-44.881,0,"うるの。",7.486,-61.273,0,"Muna_328",38.879,-93.652,0,"うよすま",-5.087,-120.121,0,"-つる３-",-46.099,-100.528,0,0,0,0,0,0,"",0,0,0,0,493.88,,,,0,0
8,1,1,0,0,1,2,1,1,0,0,1,255,255,7,510.976,"Low1_jpn",R,32,86,139,1.034,-0.139,0.248,1.235,0.225,1.606,-36.789,40.564,2,59,39,2,0,155.322,68.971,10.388,0,0,0,2,0,R,"Slaris",190,85.704,0.452,3,65,W,Y,511.878,255,103,185,101,42,145,98,-32.348,30.199,-0.43,0,0.35,-32.269,-303.271,-42.027,-0.415,-37.063,0,"P0TA0",0.11,-16.917,0,"쟈가리코",-20.453,-42.963,68,"芝レイナ",-14.032,-59.809,86,"わだ、、",18.112,-45.225,0,"うるの。",8.84,-61.564,111,"Muna_328",38.939,-93.724,0,"うよすま",-5.18,-121.713,0,"-つる３-",-46.136,-100.551,0,511.091,-0.601,-20.784,513.702,3,"芝レイナ",-17.246,-52.557,1,0,,516.106,,,197,2
9,1,1,0,0,0,0,2,1,0,0,0,255,255,8,544.97,"Low1_jpn",R,3,77,116,1.749,0.106,0.51,1.26,1.442,1.688,-36.789,60.463,15,85,0,1,0,-454.323,0,7.725,0,0,0,3,8,R,"ディシジョン",180.2,92.496,0.622,0,67,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.204,-37.532,0,"P0TA0",-0.974,-18.134,0,"쟈가리코",-20.207,-43.087,0,"芝レイナ",-16.757,-61.883,0,"わだ、、",19.653,-47.703,0,"うるの。",10.234,-64.421,0,"Muna_328",21.008,-112.502,0,"うよすま",-23.103,-120.06,0,"-つる３-",-60.046,-96.591,0,0,0,0,0,0,"",0,0,0,0,545.735,,,,0,0
10,1,1,0,0,1,0,2,1,0,0,0,255,255,9,564.54,"Low1_jpn",R,33,75,126,0.42,0.11,0.273,1.232,0.015,1.759,-36.789,38.874,0,9,91,0,0,100.278,63.546,4.17,0,0,0,3,8,R,"ディシジョン",180.2,92.496,0.622,0,67,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.066,-37.709,0,"P0TA0",-1.24,-19.324,0,"쟈가리코",-20.23,-42.44,0,"芝レイナ",-16.869,-61.807,0,"わだ、、",19.267,-49.091,0,"うるの。",9.708,-64.552,0,"Muna_328",21.747,-113.592,0,"うよすま",-19.596,-117.433,0,"-つる３-",-57.921,-90.416,0,0,0,0,0,0,"",0,0,0,0,565.235,,,,0,0
