id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,249.199,"하루（Haru）",R,27,85,137,-0.125,0.157,0.265,1.827,-0.177,1.576,-36.491,36.764,92,8,0,0,0,96.172,-133.382,7.312,0,0,0,0,2,L,"Sabo_10",185.3,88,0.452,0,90,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.005,-37.042,0,"encounter v",-0.057,-17.332,0,"Pring__",-21.106,-46.779,0,"ddil_ddil69",-11.444,-60.78,0,"_Gosomi",22.569,-47.671,0,"Yaksok~",16.347,-62.616,0,"_송글_",41.134,-92.456,0,"うよすま",5.604,-117.938,0,"눈꽃",-36.323,-99.197,0,0,0,0,0,0,"",0,0,0,0,250.265,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,264.399,"하루（Haru）",R,3,78,115,-1.693,0.216,0.309,1.957,0.028,2.007,-36.491,41.122,82,18,0,2,0,-449.219,219.55,15.197,0,0,1,0,2,L,"Sabo_10",185.3,88,0.452,3,90,W,Y,265.264,255,118,82,124,74,145,129,10.676,33.643,0.33,0,0.655,-341.583,-329.941,366.688,-0.052,-37.346,0,"encounter v",-0.061,-17.501,0,"Pring__",-21.017,-46.944,89,"ddil_ddil69",-11.509,-60.806,0,"_Gosomi",22.829,-47.779,0,"Yaksok~",16.482,-62.72,0,"_송글_",41.151,-92.495,0,"うよすま",5.632,-115.504,0,"눈꽃",-36.216,-99.506,106,266.94,-30.531,-70.508,268.34,8,"눈꽃",-42.141,-91.073,1,0,,,,,292,2
3,1,1,0,0,0,0,0,1,0,0,2,255,255,2,290.375,"하루（Haru）",R,3,78,118,-1.118,0.734,0.318,1.953,0.07,2.016,-36.491,41.923,79,21,0,0,0,-397.583,0,8.651,0,0,0,1,7,R,"ByeolBam",175,90,0.5,0,77,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038,-37.307,0,"encounter v",-0.117,-17.419,0,"Pring__",-18.72,-41.052,0,"ddil_ddil69",-13.854,-59.989,0,"_Gosomi",20.013,-48.175,0,"Yaksok~",10.369,-61.36,0,"_송글_",38.814,-91.171,0,"うよすま",-4.576,-113.398,0,"눈꽃",-45.202,-98.633,0,0,0,0,0,0,"",0,0,0,0,291.615,,,,0,0
4,1,1,0,0,0,1,0,1,0,0,2,255,255,3,305.417,"하루（Haru）",R,11,86,133,-2.938,-1.704,0.035,1.624,-1.248,0.859,-36.491,17.446,53,47,0,1,0,-22.455,231.33,7.389,0,0,0,1,7,R,"ByeolBam",175,90,0.5,0,77,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.602,-37.544,0,"encounter v",-0.307,-17.648,0,"Pring__",-18.843,-39.923,0,"ddil_ddil69",-13.805,-59.993,0,"_Gosomi",20.389,-48.441,0,"Yaksok~",7.968,-62.112,0,"_송글_",38.873,-91.21,0,"うよすま",-4.086,-111.962,0,"눈꽃",-45.192,-98.629,0,0,0,0,0,0,"",0,0,0,0,306.582,,,,0,0
5,1,1,0,0,1,1,0,1,0,0,2,255,255,4,319.225,"하루（Haru）",R,27,85,138,0.395,-0.281,0.312,1.75,0.042,1.3,-36.491,33.169,49,51,0,2,0,92.267,-137.737,5.813,0,0,1,1,7,R,"ByeolBam",175,90,0.5,3,77,W,Y,320.154,230,154,155,71,36,145,127,22.85,13.52,0.37,0,0.252,216.212,505.32,220.997,0.026,-36.919,0,"encounter v",-0.095,-17.565,0,"Pring__",-17.436,-42.234,0,"ddil_ddil69",-13.769,-59.809,85,"_Gosomi",20.349,-48.424,0,"Yaksok~",9.112,-61.557,0,"_송글_",38.856,-91.193,0,"うよすま",-4.03,-112.491,0,"눈꽃",-44.738,-98.593,117,324.948,-39.531,-124.392,325.865,8,"눈꽃",-37.747,-120.933,1,0,,326.666,,,268,2
6,1,1,0,0,0,0,0,1,1,0,7,2,255,5,352.782,"하루（Haru）",R,13,39,78,-0.653,0.358,0.314,2.034,0.033,2.126,-36.491,58.309,100,0,0,0,0,-274.403,316.619,-74.176,0,0,1,2,3,L,"須磨-suma-",160,80,0.612,0,59,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.183,-37.068,0,"encounter v",-0.072,-17.549,0,"Pring__",-19.38,-39.576,0,"ddil_ddil69",-6.627,-60.956,0,"_Gosomi",21.344,-43.028,0,"Yaksok~",12.198,-58.101,0,"_송글_",39.434,-89.785,0,"うよすま",4.086,-103.671,0,"눈꽃",-32.895,-90.01,0,0,0,0,0,0,"",0,0,0,0,354.373,355.659,,,0,0
7,1,1,0,0,0,1,0,1,1,0,7,2,255,6,370.042,"하루（Haru）",R,26,85,138,0.489,-0.24,0.319,1.758,0.073,1.298,-36.491,34.823,39,61,0,2,0,95.139,-155.528,11.162,0,0,1,2,3,L,"須磨-suma-",160,80,0.612,3,59,W,Y,371.118,255,56,85,82,27,145,107,-30,20.412,0.89,0,0.389,-53.175,213.046,10.839,-0.161,-37.091,0,"encounter v",-0.133,-17.659,115,"Pring__",-17.281,-42.259,0,"ddil_ddil69",-8.893,-62.093,0,"_Gosomi",21.167,-46.176,0,"Yaksok~",12.139,-57.993,0,"_송글_",40.899,-91.779,0,"うよすま",5.518,-105.071,0,"눈꽃",-32.857,-89.932,106,371.073,-0.303,-19.964,374.848,8,"눈꽃",-20.656,-75.3,1,0,377.982,375.834,375.794,,261,2
8,1,1,0,0,0,0,0,1,1,1,3,7,2,7,398.656,"하루（Haru）",R,28,73,112,1.669,-0.134,0.49,1.743,0.581,1.423,-36.491,56.103,89,11,0,4,0,86.584,-97.703,-0.803,0,0,1,3,1,L,"_Chun",190,80,0.455,0,76,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.484,-37.325,0,"encounter v",-0.249,-17.388,0,"Pring__",-17.999,-41.9,0,"ddil_ddil69",-11.719,-60.424,0,"_Gosomi",21.516,-45.232,0,"Yaksok~",11.18,-57.864,0,"_송글_",40.782,-89.233,0,"うよすま",6.298,-119.177,0,"눈꽃",-31.944,-104.632,0,0,0,0,0,0,"",0,0,0,0,399.923,401.254,400.873,,0,0
9,1,1,0,0,0,1,0,1,1,1,3,7,2,8,434.28,"하루（Haru）",R,3,70,112,0.209,0.211,0.476,1.877,0.802,1.741,-36.491,58.361,73,27,0,2,0,-408.108,0,6.383,0,0,1,3,1,L,"_Chun",190,80,0.455,3,76,W,Y,435.321,243,136,122,98,51,145,92,24.544,-31.443,-0.74,0,0.337,101.235,64.578,-24.684,-0.551,-36.933,0,"encounter v",-0.037,-17.64,0,"Pring__",-17.648,-42.313,0,"ddil_ddil69",-13.206,-61.692,0,"_Gosomi",21.942,-46.935,86,"Yaksok~",13.062,-58.276,0,"_송글_",40.116,-89.183,98,"うよすま",8.426,-116.154,0,"눈꽃",-30.626,-104.195,0,0,0,0,439.457,6,"_송글_",36.246,-80.163,0,0,,440.218,439.951,,84,1
10,1,1,0,0,0,0,1,1,1,1,3,7,2,9,464.431,"하루（Haru）",R,5,82,130,-0.784,-0.456,0.266,1.745,-0.174,1.315,-36.491,35.589,85,15,0,2,0,-139.054,2.915,7.762,0,0,0,4,5,L,"Kr_Luna",190,95.256,0.499,3,76,W,Y,465.29,177,93,132,99,37,145,130,107.102,62.061,0.32,0,0.109,132.364,-117.434,0.543,-0.415,-36.678,0,"encounter v",-0.05,-17.489,0,"Pring__",-19.491,-40.174,0,"ddil_ddil69",-13.233,-60.029,0,"_Gosomi",21.941,-47.378,0,"Yaksok~",15.015,-59.702,0,"_송글_",45.514,-96.844,0,"うよすま",17.917,-122.657,0,"눈꽃",-25.012,-113.241,0,0,0,0,0,0,"",0,0,0,0,,469.117,466.96,,4,3
