id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,339.31,"Penguin_iDOL",R,14,86,110,-4.428,-0.074,-0.254,2.037,-2.46,1.883,-36.493,31.242,86,14,0,4,0,390.434,312.348,28.973,0,0,1,0,4,R,"Yaksok~",173.3,80,0.332,0,61,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.173,-37.566,0,"HANA_ARASHI",-0.254,-17.183,0,"Kr_Luna",-18.362,-49.313,0,"아침땅_",-14.68,-64.046,0,"시즈카_Shizuka",24.541,-52.415,0,"눈꽃",9.218,-66.152,0,"YukihiroD",42.513,-96.865,0,"Gonyong",-14.144,-113.735,0,"SUGUN",-46.292,-90.688,0,0,0,0,0,0,"",0,0,0,0,340.738,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,358.878,"Penguin_iDOL",R,13,86,110,-2.565,-1.545,0.027,1.592,-0.537,1.269,-36.493,11.76,48,52,0,4,0,-318.058,385.797,9.321,-0.629,-18.097,1,0,4,R,"Yaksok~",173.3,80,0.332,0,61,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258,-37.571,0,"HANA_ARASHI",-0.14,-17.204,0,"Kr_Luna",-19.061,-48.623,0,"아침땅_",-16.136,-63.016,0,"시즈카_Shizuka",22.892,-51.408,0,"눈꽃",9.239,-66.265,0,"YukihiroD",40.788,-95.533,0,"Gonyong",-14.117,-112.015,0,"SUGUN",-45.835,-91.722,0,0,0,0,0,0,"",0,0,0,0,360.388,,,,0,0
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,377.638,"Penguin_iDOL",R,3,82,108,-3.066,-0.921,0.031,1.537,-0.523,1.14,-36.493,13.177,56,44,0,4,0,-435.776,35.713,-1.635,0,0,1,0,4,R,"Yaksok~",173.3,80,0.332,0,53,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039,-37.659,0,"HANA_ARASHI",-0.282,-17.245,0,"Kr_Luna",-19.04,-48.595,0,"아침땅_",-16.136,-63,0,"시즈카_Shizuka",23.234,-51.796,0,"눈꽃",8.856,-66.234,0,"YukihiroD",40.506,-95.651,0,"Gonyong",-13.921,-105.892,0,"SUGUN",-45.862,-91.655,0,0,0,0,0,0,"",0,0,0,0,379.088,,,,0,0
4,1,1,0,0,0,0,1,0,0,0,255,255,255,3,400.365,"Penguin_iDOL",R,26,90,140,-1.034,0.735,0.11,1.832,-0.419,1.906,-36.493,24.336,77,23,0,0,0,-32.061,-187.793,22.902,0,0,0,1,1,L,"_Chun",190,80,0.455,0,54,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.083,-37.546,0,"HANA_ARASHI",-0.122,-17.229,0,"Kr_Luna",-16.462,-51.697,0,"아침땅_",-12.661,-65.03,0,"시즈카_Shizuka",23.807,-52.617,0,"눈꽃",14.734,-63.91,0,"YukihiroD",42.317,-97.013,0,"Gonyong",-0.98,-117.886,0,"SUGUN",-46.108,-91.604,0,0,0,0,0,0,"",0,0,0,0,401.672,,,,0,0
5,1,1,0,0,0,1,1,0,0,0,255,255,255,4,418.867,"Penguin_iDOL",R,10,86,128,-0.703,-0.115,0.133,1.842,-0.31,1.937,-36.493,24.245,80,20,0,0,0,0,400,34.001,0,0,0,1,1,L,"_Chun",190,80,0.455,0,54,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135,-37.565,0,"HANA_ARASHI",-0.138,-17.259,0,"Kr_Luna",-16.65,-51.857,0,"아침땅_",-11.91,-65.282,0,"시즈카_Shizuka",25.043,-51.227,0,"눈꽃",14.536,-64.025,0,"YukihiroD",42.25,-97.237,0,"Gonyong",3.248,-117.379,0,"SUGUN",-46.06,-91.597,0,0,0,0,0,0,"",0,0,0,0,420.297,,,,0,0
6,1,1,0,0,0,2,1,0,0,0,255,255,255,5,434.61,"Penguin_iDOL",R,14,94,115,2.279,-1.228,0.262,1.782,0.367,1.255,-36.493,23.977,91,9,0,2,0,358.411,348.628,17.133,0,0,1,1,1,L,"_Chun",190,80,0.455,3,54,W,Y,435.656,250,89,73,74,46,145,123,31.762,-42.917,0.74,0,0.357,78.139,-207.809,101.618,0.107,-36.911,0,"HANA_ARASHI",0.005,-17.321,0,"Kr_Luna",-18.254,-50.87,0,"아침땅_",-11.489,-65.27,0,"시즈카_Shizuka",25.25,-51.642,0,"눈꽃",14.658,-64.068,0,"YukihiroD",42.399,-97.152,0,"Gonyong",3.316,-117.347,0,"SUGUN",-45.973,-91.222,0,440.855,72.625,-91.243,0,0,"",0,0,0,0,,,,,0,3
7,1,1,0,0,0,2,1,0,0,0,255,255,255,6,459.246,"Penguin_iDOL",R,26,89,140,-1.662,1.09,0.069,1.898,-0.608,2.118,-36.493,26.811,77,23,0,4,0,-93.714,-200,35.921,0,0,1,1,1,L,"_Chun",190,80,0.455,0,90,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.21,-37.485,0,"HANA_ARASHI",-0.152,-17.243,0,"Kr_Luna",-18.504,-50.659,0,"아침땅_",-13.066,-64.966,0,"시즈카_Shizuka",25.099,-50.516,0,"눈꽃",15.636,-63.301,0,"YukihiroD",51.608,-98.891,0,"Gonyong",3.612,-116.969,0,"SUGUN",-46.447,-91.421,0,0,0,0,0,0,"",0,0,0,0,460.572,,,,0,0
8,1,1,0,0,0,0,2,0,0,0,255,255,255,7,482.595,"Penguin_iDOL",R,14,81,106,-2.04,0.959,0.138,2.044,-0.061,2.291,-36.493,37.6,84,16,0,2,0,372.831,316.715,5.551,0,0,1,2,8,R,"소솨소솨",190,80,0.498,3,58,W,Y,483.774,255,102,59,73,36,137,96,21.921,21.2,-0.32,0,0.522,560.515,-179.985,-4.486,-0.012,-37.071,0,"HANA_ARASHI",-0.059,-17.298,0,"Kr_Luna",-19.577,-47.524,0,"아침땅_",-16.232,-62.86,0,"시즈카_Shizuka",23.174,-51.758,0,"눈꽃",10.189,-65.858,0,"YukihiroD",35.662,-97.113,0,"Gonyong",-8.974,-113.976,0,"SUGUN",-46.529,-91.247,0,489.03,-29.001,-102.621,489.663,5,"ddil_ddil69",-28.856,-102.135,0,0,520.963,,,,258,1
9,1,0,0,0,0,0,0,0,0,0,255,255,255,0,593.838,"Riyaj",R,13,82,120,-3.697,-2.166,-0.038,1.697,-1.105,0.855,-36.788,14.093,41,59,0,1,0,-296.671,400,6.475,-0.758,-19.318,0,0,7,R,"Gonyong",175,85,0.2,0,62,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169,-37.581,0,"_Chun",-0.105,-17.838,0,"_Gosomi",-20.743,-46.431,0,"ゆっち一",-15.278,-63.814,0,"Yaksok~",19.566,-51.851,0,"ddil_ddil69",13.136,-64.816,0,"k@ster",42.971,-105.145,0,"うよすま",-2.749,-114.412,0,"소솨소솨",-40.502,-95.488,0,0,0,0,0,0,"",0,0,0,0,595.73,,,,0,0
10,1,0,0,0,0,1,0,0,0,0,255,255,255,1,608.744,"Riyaj",R,10,69,99,-1.197,-1.022,0.034,1.939,-0.516,1.69,-36.788,22.427,60,40,0,2,0,0,400,5.27,0,0,0,0,7,R,"Gonyong",175,85,0.2,3,62,W,Y,610.269,175,137,155,95,42,145,117,-7.866,19.359,0.81,0,0.175,-322.864,364.611,54.435,-0.11,-37.57,0,"_Chun",-0.074,-18.081,0,"_Gosomi",-21.142,-46.885,90,"ゆっち一",-15.25,-63.706,92,"Yaksok~",19.716,-51.976,0,"ddil_ddil69",13.059,-64.684,0,"k@ster",37.941,-100.686,0,"うよすま",-5.104,-112.042,0,"소솨소솨",-39.911,-95.452,0,610.438,-1.43,-23.451,612.097,3,"ゆっち一",-13.46,-57.755,0,0,,,,,328,2
