id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,148.521,"Pugeuk",R,29,84,136,1.534,-0.091,0.633,1.56,0.871,1.361,-36.692,31.175,60,40,0,2,0,-250,-200,41.258,0,0,1,0,3,R,"seikka",178.3,90,0.397,3,88,W,Y,149.726,203,58,59,28,0,135,87,-30,50.472,0.95,0,0.429,-436.817,-45.716,28.097,0.57,-37.101,0,"Oort__Cloud",-0.062,-17.362,0,"Pring__",-21.137,-47.697,0,"Yaksok~",-15.785,-63.427,0,"ぐだもん",23.965,-51.152,0,"시즈카_Shizuka",7.091,-66.332,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,149.848,-1.337,-19.778,0,0,"",0,0,0,0,,,,,32,3
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,165.955,"Pugeuk",R,2,70,98,1.272,1.489,0.871,1.939,1.318,2.09,-36.692,45.802,75,22,4,1,0,-347.842,-312.348,43.164,0,0,0,0,3,R,"seikka",178.3,90,0.397,0,88,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.328,-37.305,0,"Oort__Cloud",0.033,-17.517,0,"Pring__",-21.503,-47.38,0,"Yaksok~",-15.424,-63.333,0,"ぐだもん",23.691,-49.76,0,"시즈카_Shizuka",7.316,-65.916,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,167.692,,,,0,0
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,180.545,"Pugeuk",R,13,72,99,0.58,-0.109,0.788,1.928,1.061,2.062,-36.692,36.637,82,16,1,0,0,-363.124,295.315,34.463,-0.339,-18.477,0,0,3,R,"seikka",178.3,90,0.397,0,88,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123,-37.515,0,"Oort__Cloud",-0.084,-17.674,0,"Pring__",-21.538,-47.409,0,"Yaksok~",-15.254,-63.553,0,"ぐだもん",21.716,-49.002,0,"시즈카_Shizuka",6.243,-66.174,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,183.537,,,,0,0
4,1,1,0,0,1,2,0,0,0,0,255,255,255,3,196.747,"Pugeuk",R,6,87,110,-0.308,-0.597,0.184,1.579,-1.096,1.26,-36.692,13.009,52,48,0,0,0,500,0,31.76,0.535,-14.015,0,0,3,R,"seikka",178.3,90,0.397,0,88,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112,-37.169,0,"Oort__Cloud",-0.074,-17.518,0,"Pring__",-21.519,-47.409,0,"Yaksok~",-15.341,-63.715,0,"ぐだもん",22.609,-48.762,0,"시즈카_Shizuka",5.357,-65.836,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,202.036,,,,0,0
5,1,1,0,0,0,0,1,0,0,0,255,255,255,4,220.249,"Pugeuk",R,29,80,130,-0.501,1.699,0.464,1.767,0.083,2.412,-36.692,20.829,65,35,0,4,0,-250,-179.935,22.178,0,0,1,1,7,R,"うよすま",176.4,85.385,0.503,0,89,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-37.009,0,"Oort__Cloud",-0.124,-17.182,0,"Pring__",-21.602,-47.36,0,"Yaksok~",-15.152,-63.712,0,"ぐだもん",20.522,-48.013,0,"시즈카_Shizuka",4.366,-67.127,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,221.536,,,,0,0
6,1,1,0,0,0,1,1,0,0,0,255,255,255,5,235.891,"Pugeuk",R,3,71,99,0.355,0.659,0.819,1.705,1.157,2.014,-36.692,44.373,41,59,0,2,0,-450,0,35.851,0,0,0,1,7,R,"うよすま",176.4,85.385,0.503,3,89,W,Y,237.077,170,51,104,54,25,145,113,25.358,41.381,0.8,0,0.399,61.412,313.684,-221.86,-0.117,-37.164,0,"Oort__Cloud",-0.013,-17.225,0,"Pring__",-21.285,-47.024,0,"Yaksok~",-15.147,-63.832,0,"ぐだもん",19.761,-45.531,0,"시즈카_Shizuka",4.779,-67.406,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,242.003,-74.217,-92.792,243.792,8,"AI",-68.96,-88.902,0,0,,,,,32,2
7,1,1,0,0,0,2,1,0,0,0,255,255,255,6,259.584,"Pugeuk",R,10,82,109,-0.735,-1.959,0.34,1.486,-0.329,1.047,-36.692,20.08,51,49,0,1,0,0,400,0.932,-0.181,-18.912,0,1,7,R,"うよすま",176.4,85.385,0.503,0,88,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076,-37.362,0,"Oort__Cloud",-0.184,-17.314,0,"Pring__",-21.383,-43.597,0,"Yaksok~",-15.854,-62.922,0,"ぐだもん",21.392,-48.32,0,"시즈카_Shizuka",4.135,-66.777,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,260.869,,,,0,0
8,1,1,0,0,1,2,1,0,0,0,255,255,255,7,273.422,"Pugeuk",R,29,92,140,-0.48,0.593,0.472,1.609,0.12,1.859,-36.692,22.409,56,44,0,2,0,-250,-101.06,18.192,0,0,1,1,7,R,"うよすま",176.4,85.385,0.503,3,88,W,Y,274.364,211,43,142,64,28,145,124,-4.572,8.591,0.73,0,0.325,-165.933,367.081,-116.154,0.129,-37.16,0,"Oort__Cloud",-0.016,-17.378,0,"Pring__",-20.964,-46.282,0,"Yaksok~",-16.019,-63.389,0,"ぐだもん",21.48,-48.508,0,"시즈카_Shizuka",3.957,-66.437,85,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,274.525,-2.006,-29.159,280.258,7,"AI",-17.405,-128.349,1,0,,,,,33,2
9,1,1,0,0,0,0,1,1,0,0,7,255,255,8,304.482,"Pugeuk",R,26,86,139,1.105,0.704,0.58,1.609,0.624,1.862,-36.692,28.015,50,50,0,0,0,-132.98,-158.703,8.391,0,0,0,2,2,R,"_Gosomi",175.4,85.099,0.49,0,89,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304,-37.254,120,"Oort__Cloud",-0.131,-17.591,0,"Pring__",-19.18,-39.913,0,"Yaksok~",-13.496,-60.651,0,"ぐだもん",21.653,-46.36,0,"시즈카_Shizuka",1.799,-67.903,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,305.846,,,,0,0
10,1,1,0,0,0,1,1,1,0,0,7,255,255,9,341.326,"Pugeuk",R,26,87,140,1.173,1.019,0.566,1.663,0.558,2.049,-36.692,22.84,55,45,0,2,0,-47.364,-154.338,17.646,0,0,1,2,2,R,"_Gosomi",175.4,85.099,0.49,3,89,W,Y,342.422,197,48,124,90,83,145,127,29.99,-22.218,0.5,0,0.37,86.362,-197.069,12.59,0.475,-36.842,0,"Oort__Cloud",0.01,-17.643,0,"Pring__",-17.707,-43.162,0,"Yaksok~",-12.712,-59.445,86,"ぐだもん",21.66,-47.791,0,"시즈카_Shizuka",4.01,-65.477,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,347.602,47.153,-120.544,348.813,6,"AI",45.647,-117.191,1,0,,348.591,353.659,,36,2
