id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,268.01,"Floră",R,3,75,103,1.752,-0.586,0.67,1.567,1.457,1.26,-36.338,28.779,0,100,0,4,0,-433.897,0,15.031,0,0,0,0,2,L,"Kr_Luna",190,95.256,0.499,0,88,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,-37.455,0,"Pring__",-0.01,-17.505,0,"うよすま",-19.995,-44.222,0,"Ѕeyeon",-13.293,-65.818,0,"yumi2012",23.811,-49.526,0,"ByeolBam",14.468,-64.196,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,269.338,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,279.977,"Floră",R,3,74,101,-0.768,-0.638,0.385,1.554,0.572,1.23,-36.338,44.232,0,100,0,0,0,-459.091,0,15.458,0,0,0,0,2,L,"Kr_Luna",190,95.256,0.499,0,88,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122,-37.374,0,"Pring__",-0.005,-17.51,0,"うよすま",-20.618,-46.751,0,"Ѕeyeon",-13.119,-65.146,0,"yumi2012",23.697,-49.325,0,"ByeolBam",14.55,-64.19,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,281.296,,,,0,0
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,293.029,"Floră",R,32,84,136,0.763,0.03,0.222,1.546,0.1,1.64,-36.338,23.741,0,100,0,2,0,165.607,10.295,4.647,0,0,0,0,2,L,"Kr_Luna",190,95.256,0.499,3,88,W,Y,293.8,185,105,123,64,26,145,130,25.469,-17.311,0.35,0,0.088,183.048,-541.842,32.418,-0.212,-36.805,0,"Pring__",-0.028,-17.594,0,"うよすま",-21.8,-48.594,0,"Ѕeyeon",-13.159,-65.196,0,"yumi2012",24.158,-50.469,0,"ByeolBam",14.586,-64.207,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,298.821,49.293,-125.962,0,0,"",0,0,0,0,,304.492,309.824,308.91,32,4
4,1,1,1,0,0,0,0,0,0,0,255,255,255,3,334.025,"Floră",R,4,72,105,1.959,-0.807,0.686,1.567,1.198,1.185,-36.338,20.179,0,93,7,2,0,-235.676,0,22.261,0,0,1,1,5,R,"k@ster",160,95.017,0.646,3,87,W,Y,335.025,117,100,50,61,51,131,107,110.404,-37.083,0.25,0,0.383,314.443,-64.701,297.606,0.224,-37.209,0,"Pring__",0.015,-17.616,0,"うよすま",-19.096,-44.476,0,"Ѕeyeon",-16.033,-65.39,0,"yumi2012",25.128,-50.931,0,"ByeolBam",12.963,-64.676,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,,,,,32,3
5,1,1,1,0,0,1,0,0,0,0,255,255,255,4,349.443,"Floră",R,3,71,101,0.538,0.328,0.616,1.605,0.979,1.794,-36.338,12.798,0,100,0,0,0,-378.882,0,22.22,0,0,0,1,5,R,"k@ster",160,95.017,0.646,0,87,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149,-37.39,0,"Pring__",0.035,-17.468,0,"うよすま",-19.895,-43.011,0,"Ѕeyeon",-16.398,-64.77,0,"yumi2012",22.904,-49.234,0,"ByeolBam",12.711,-64.538,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,350.763,,,,0,0
6,1,1,1,0,0,2,0,0,0,0,255,255,255,5,361.137,"Floră",R,13,78,104,0.866,-1.428,0.643,1.439,1.065,1.37,-36.338,25.428,0,100,0,2,0,-355.844,329.155,15.226,0,0,1,1,5,R,"k@ster",160,95.017,0.646,3,87,W,Y,362.17,124,101,57,50,29,135,105,-30,-34.191,0.08,0,0.261,-278.095,-308.788,-264.305,0.345,-37.171,0,"Pring__",-0.027,-17.615,0,"うよすま",-20.747,-46.244,81,"Ѕeyeon",-16.326,-64.927,0,"yumi2012",24.887,-50.198,0,"ByeolBam",13.258,-64.1,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,362.138,0.53,-20.629,363.979,4,"yumi2012",20,-47.349,1,0,,,,,37,2
7,1,1,1,0,0,0,0,1,0,0,5,255,255,6,385.927,"Floră",R,38,56,98,1.429,-0.157,0.554,1.678,0.533,1.523,-36.338,37.86,0,100,0,0,0,41.289,-7.534,2.817,0,0,1,2,4,L,"HOGGYS 호기스",174.5,90,0.45,0,85,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,-37.38,0,"Pring__",0.007,-17.988,0,"うよすま",-18.822,-43.209,0,"Ѕeyeon",-7.897,-60.95,0,"yumi2012",25.372,-51.861,0,"ByeolBam",15.932,-62.823,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,387.421,,,,0,0
8,1,1,1,0,0,1,0,1,0,0,5,255,255,7,399.048,"Floră",R,34,71,110,0.944,0.094,0.376,1.625,0.237,1.66,-36.338,27.179,0,100,0,2,0,90.968,-5.953,3.838,0,0,1,2,4,L,"HOGGYS 호기스",174.5,90,0.45,3,85,W,Y,400.121,183,94,63,49,0,137,106,26.095,-8.52,0.12,0,0.365,126.906,-277.696,93.009,0.115,-37.15,0,"Pring__",-0.046,-18.005,0,"うよすま",-19.009,-42.902,0,"Ѕeyeon",-6.358,-60.654,0,"yumi2012",25.332,-51.832,0,"ByeolBam",15.832,-62.83,86,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,404.896,19.1,-108.99,408.446,7,"AI",24.38,-131.441,1,0,,406.533,411.236,,48,2
9,1,1,1,0,0,0,0,0,1,1,255,4,5,8,431.467,"Floră",R,33,85,137,2.14,0.062,0.379,1.653,0.369,1.312,-36.338,22.94,0,100,0,2,0,144.618,11.023,4.58,0,0,1,3,3,R,"_Gosomi",175.2,85.099,0.49,3,82,W,Y,432.541,188,18,106,96,69,145,102,-6.702,3.205,0.03,0,0.32,-339.237,351.743,30.454,0.022,-37.262,0,"Pring__",0.047,-17.732,0,"うよすま",-21.09,-47.382,0,"Ѕeyeon",-13.928,-62.086,0,"yumi2012",22.678,-46.965,0,"ByeolBam",12.248,-59.879,74,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,432.671,-0.131,-23.539,436.654,7,"AI",-4.881,-93.235,1,0,,,440.086,437.321,48,2
10,1,1,2,0,0,0,0,1,1,0,3,4,255,9,459.18,"Floră",R,6,65,96,4.046,-0.217,0.553,1.6,1.043,1.498,-36.338,43.275,0,100,0,4,0,390.698,0,-10.282,0,0,1,4,1,L,"눈꽃",190,80,0.497,0,82,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049,-37.231,0,"Pring__",0.274,-17.444,0,"うよすま",-17.788,-41.698,0,"Ѕeyeon",-10.116,-63.378,0,"yumi2012",23.577,-47.339,0,"ByeolBam",15.001,-62.948,0,"AI",40.902,-90.652,0,"AI",0,-109.843,0,"AI",-40.802,-90.552,0,0,0,0,0,0,"",0,0,0,0,460.754,,,,0,0
