id,type,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,sH,sV,gyro,plx,plz,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,bSwing,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,launchPosX,launchPosY,launchPosZ,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,ltSec,lx,lz,cSec,cPos,cx,cy,cz,1BSafe,tag,cpSec,bTo1Sec,bTo2Sec,bTo3Sec,bToHSec,r1To2Sec,r1To3Sec,r1ToHSec,r2To3Sec,r2ToHSec,r3ToHSec,r1LeaveSec,r2LeaveSec,r3LeaveSec,out1Sec,out1BatterIndex,out1PrevBase,out1Code,out1Ass,out2Sec,out2BatterIndex,out2PrevBase,out2Code,out2Ass,out3Sec,out3BatterIndex,out3PrevBase,out3Code,out3Ass,ball1Sec,ball1Pos,ball2Sec,ball2Pos,ball3Sec,ball3Pos,ballHSec,ballHPos,PitchPPosX,PitchPPosZ,PitchCPosX,PitchCPosZ,Pitch1BPosX,Pitch1BPosZ,Pitch2BPosX,Pitch2BPosZ,Pitch3BPosX,Pitch3BPosZ,PitchSSPosX,PitchSSPosZ,PitchLFPosX,PitchLFPosZ,PitchCFPosX,PitchCFPosZ,PitchRFPosX,PitchRFPosZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,PGetSec,PGetX,PGetZ,CGetSec,CGetX,CGetZ,1BGetSec,1BGetX,1BGetZ,2BGetSec,2BGetX,2BGetZ,3BGetSec,3BGetX,3BGetZ,SSGetSec,SSGetX,SSGetZ,LFGetSec,LFGetX,LFGetZ,CFGetSec,CFGetX,CFGetZ,RFGetSec,RFGetX,RFGetZ,PThrSec,PThrX,PThrZ,CThrSec,CThrX,CThrZ,1BThrSec,1BThrX,1BThrZ,2BThrSec,2BThrX,2BThrZ,3BThrSec,3BThrX,3BThrZ,SSThrSec,SSThrX,SSThrZ,LFThrSec,LFThrX,LFThrZ,CFThrSec,CFThrX,CFThrZ,RFThrSec,RFThrX,RFThrZ,errPosDelta,result,balk,cPlr,sb2Sec,sb3Sec,sbhSec,ass,remarks
1,,1,1,0,0,0,1,0,0,0,0,255,255,255,0,317.602,"ke ro",R,26,75,126,2.293,0.955,0.39,1.764,0.919,2.062,-36.566,33.887,100,0,0,1,51.288,-150,3.836,0,0,0,2,R,"인생최패망자",190,80,0.396,,87,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,-37.776,-0.039,-17.464,-18.761,-44.07,-16.543,-61.893,21.003,-47.463,12.979,-65.26,35.753,-86.129,2.907,-122.834,-48.204,-95.74,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",,,,0,""
2,,1,1,0,0,1,1,0,0,0,0,255,255,255,1,330.009,"ke ro",R,10,80,120,0.077,-2.498,0.322,1.626,0.025,0.495,-36.566,21.363,51,49,0,1,0,400,8.176,0.013,-20.356,0,2,R,"인생최패망자",190,80,0.396,,87,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019,-37.855,-0.045,-17.483,-18.616,-44.494,-15.961,-60.741,20.599,-48.707,12.402,-65.219,35.754,-86.139,2.846,-122.889,-47.862,-95.797,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",,,,0,""
3,,1,1,0,0,2,1,0,0,0,0,255,255,255,2,342.615,"ke ro",R,26,77,127,1.469,0.876,0.34,1.792,0.52,2.012,-36.566,32.374,100,0,0,0,71.689,-150,7.874,0,0,0,2,R,"인생최패망자",190,80,0.396,,87,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,-37.966,-0.051,-17.478,-18.392,-45.098,-15.755,-60.679,20.733,-49.094,12.541,-65.137,35.755,-86.133,2.927,-122.859,-47.141,-95.872,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",,,,0,""
4,,1,1,0,0,2,2,0,0,0,0,255,255,255,3,355.255,"ke ro",R,14,77,115,0.869,-2.529,0.13,1.269,-0.144,0.516,-36.566,16.194,70,30,0,1,362.218,344.671,70.915,0.191,-19.931,0,2,R,"인생최패망자",190,80,0.396,,87,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.036,-37.853,-0.072,-17.491,-18.308,-45.321,-15.366,-60.82,20.748,-49.047,13.238,-64.281,36.517,-86.372,2.903,-122.934,-45.953,-97.909,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",,,,0,""
5,,1,1,0,0,3,2,0,0,0,0,255,255,255,4,366.29,"ke ro",R,26,83,134,-84.711,-2.529,0.251,1.686,0.262,1.675,-36.566,25.311,100,0,0,2,88.225,-150,24.169,0,0,0,2,R,"인생최패망자",190,80,0.396,3,87,W,Y,1,367.366,212,131,113,74,39,145,91,37.394,-25.577,0.168,1.109,-19.814,-0.79,0,0.345,586.973,-121.805,-25.014,372.34,34.796,-84.729,373.395,6,37.639,1.033,-89.992,1,0,,372.925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.054,-37.853,-0.063,-17.482,-18.485,-44.965,-15.379,-61.062,21.17,-48.901,12.262,-65.576,58.738,-102.533,2.878,-123.931,-45.389,-97.724,0.188,-37.757,,"encounter v",-0.078,-17.49,,"-라후이-",-18.275,-45.237,,"Rite_",-15.375,-61.059,85,"かめかめん",21.15,-48.915,,"_송글_",12.317,-65.627,,"Kr_Luna",58.724,-102.521,119,"Yes_Man_",2.911,-123.946,,"ByeolBam",-46.088,-97.739,,382.465,0.239,-38.88,,,,,,,376.003,1.088,-59.451,,,,,,,373.648,38.291,-90.536,,,,,,,,,,,,,,,,381.41,-1.242,-56.468,,,,,,,374.256,34.788,-87.672,,,,,,,"",2,0,"Kr_Luna",,,,257,""
6,,1,1,0,0,0,0,0,1,0,0,2,255,255,5,397.755,"ke ro",R,26,87,140,0.348,-0.692,0.207,1.497,0.153,1.057,-36.566,12.799,51,49,0,0,-8.057,-150,25.629,0,0,1,8,R,"SUGUN",181.4,82,0.5,,83,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,402.12,,,,,,,,,,,,,,,,,,,,,,,,,,0.024,-38.465,-0.056,-17.462,-19.747,-39.909,-14.69,-62.546,20.837,-47.239,13.154,-65.124,35.304,-86.918,-6.685,-107.663,-45.362,-93.741,,,120,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,403.308,-0.177,-37.275,,,,,,,,,,,,,,,,,,,,,,,,,412.09,-1.677,-38.187,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",,,,0,""
7,,1,1,0,0,0,1,0,1,0,0,2,255,255,6,427.206,"ke ro",R,13,84,122,-0.806,-0.796,0.27,1.647,0.168,1.57,-36.566,18.928,45,55,0,2,-326.762,378.453,8.048,0,0,1,8,R,"SUGUN",181.4,82,0.5,3,83,W,Y,1,428.448,255,200,132,55,10,145,113,-4.667,7.997,-0.23,0.67,-21.264,0.9,0,0.389,-290.561,521.893,56.584,428.373,-1.134,-27.361,431.529,7,-11.282,0.06,-89.856,1,0,,433.897,,,,432.264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.065,-37.996,-0.024,-17.612,-19.346,-40.608,-14.247,-62.414,21.437,-47.179,12.218,-65.281,35.152,-86.769,-6.791,-105.34,-44.724,-94.604,0.1,-37.743,,"encounter v",-0.005,-17.616,,"-라후이-",-19.108,-43.543,,"Rite_",-14.112,-62.227,,"かめかめん",21.446,-47.196,,"_송글_",11.735,-65.127,87,"Kr_Luna",35.166,-86.763,,"Yes_Man_",-6.779,-105.325,109,"ByeolBam",-44.73,-94.603,,438.185,0.028,-38.878,,,,,,,,,,,,,433.961,-0.117,-59.892,,,,431.828,-11.568,-91.27,,,,,,,,,,,,,,,,,,,437.283,1.134,-54.576,,,,432.819,-8.38,-84.634,,,,"",2,0,"Yes_Man_",432.264,,,34,""
8,,1,1,0,0,0,0,0,1,1,0,8,2,255,8,457.33,"ke ro",R,26,90,140,-0.994,-0.741,0.093,1.489,-0.457,1.017,-36.566,8.154,50,50,0,2,19.703,-150,26.802,0,0,2,1,L,"눈꽃",190,80,0.505,3,83,W,Y,0,458.282,255,230,90,115,44,145,120,18.49,-20.918,-0.199,0.673,-19.462,0.2,0,0.455,424.841,423.657,-5.006,463.207,30.866,-129.028,465.04,7,28.495,0.054,-120.409,1,0,,463.795,468.385,,,463.134,468.187,,463.997,468.752,,,,,,,,,,,,,,,,,,,,,,470.333,3,,,,,-0.1,-37.734,-0.019,-17.586,-19.491,-45.365,-0.598,-60.562,20.519,-45.119,13.464,-63.59,41.273,-94.573,1.472,-123.401,-38.389,-103.114,0.089,-37.472,,"encounter v",-0.026,-17.567,,"-라후이-",-19.463,-45.088,,"Rite_",-4.116,-60.621,99,"かめかめん",20.384,-45.326,,"_송글_",13.406,-63.534,,"Kr_Luna",41.375,-94.48,,"Yes_Man_",1.47,-123.373,98,"ByeolBam",-38.407,-103.122,,471.378,0.498,-38.565,,,,,,,469.277,1.03,-62.143,,,,,,,,,,465.3,27.473,-120.522,,,,,,,,,,,,,470.391,0.717,-57.339,,,,,,,,,,466.496,26.722,-113.383,,,,"",2,0,"Yes_Man_",463.134,463.997,468.752,33,""
9,,1,1,1,0,0,0,0,0,1,1,255,1,8,8,518.379,"ke ro",R,26,78,129,2.487,1.663,0.383,1.856,0.974,2.299,-36.566,37.526,100,0,0,1,75.82,-150,5.515,0,0,4,7,R,"うよすま",160,82.375,0.502,,83,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,534.417,533.008,,,,,,,,,,,,,,,,,,,,,,,,-0.075,-37.712,-0.036,-17.584,-19.705,-46.786,-12.485,-63.443,19.316,-43.61,11.935,-65.602,45.796,-105.552,-2.854,-111.087,-44.066,-93.448,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,522.935,-0.003,-37.335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",520.964,520.895,,0,""
10,,1,1,1,0,1,0,0,0,1,1,255,1,8,9,535.114,"ke ro",R,26,82,134,2.587,1.819,0.392,1.843,0.958,2.391,-36.566,39.274,100,0,0,1,109.876,-150,11.11,0,0,4,7,R,"うよすま",160,82.375,0.502,,83,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,549.243,547.905,,,,,,,,,,,,,,,,,,,,,,,,-0.088,-37.628,-0.05,-17.577,-19.433,-46.326,-12.064,-63.257,19.34,-41.604,11.565,-64.372,33.661,-94.359,-2.861,-109.777,-44.188,-93.242,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,539.086,-0.125,-37.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",537.655,537.699,,0,""
