id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,291.917,"Pugeuk",R,29,85,137,-1.347,0.661,0.381,1.571,-0.301,1.736,-36.694,25.042,56,44,0,0,0,-250,-200,21.778,0,0,0,0,3,L,"하루（Haru）",160,90.172,0.403,0,38,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235,-37.286,0,"Pring__",-0.04,-17.52,0,"Yaksok~",-18.911,-50.44,0,"muyang_",-16.3,-62.943,0,"TaeGeuk_",24.083,-50.505,0,"si_ho",15.158,-60.477,0,"Azuner",43.851,-90.914,0,"うよすま",6.103,-110.865,0,"ByeolBam",-42.469,-94.924,0,0,0,0,0,0,"",0,0,0,0,292.988,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,307.402,"Pugeuk",R,13,64,94,-0.983,-0.585,0.55,1.654,0.322,1.921,-36.694,36.626,41,59,0,2,0,-332.726,313.686,-7.982,0,0,1,0,3,L,"하루（Haru）",160,90.172,0.403,3,38,W,Y,308.755,161,174,37,77,58,120,94,29.823,14.425,0.85,0,0.262,-380.369,-126.202,166.988,0.06,-37.372,0,"Pring__",-0.071,-17.587,0,"Yaksok~",-18.249,-50.42,0,"muyang_",-15.905,-62.914,0,"TaeGeuk_",24.759,-48.978,0,"si_ho",15.322,-60.981,0,"Azuner",43.186,-88.584,0,"うよすま",7.141,-113.108,0,"ByeolBam",-40.593,-99.127,104,312.908,-17.295,-95.561,313.815,8,"ByeolBam",-18.509,-101.79,1,0,,317.842,,,266,2
3,1,1,0,0,0,0,0,0,1,0,255,3,255,2,340.731,"Pugeuk",R,10,73,114,3.067,0.562,0.768,1.78,1.499,2.4,-36.694,39.484,37,62,2,2,0,-120.82,400,11.891,0,0,1,1,1,R,"ke ro",190,80,0.398,3,37,W,Y,341.849,255,95,52,134,63,137,84,-49.53,55.456,-0.87,0,0.689,149.807,-446.824,-74.749,0.34,-37.39,0,"Pring__",0.033,-17.87,0,"Yaksok~",-18.67,-49.114,0,"muyang_",-16.895,-61.558,0,"TaeGeuk_",21.019,-44.662,0,"si_ho",2.674,-60.154,0,"Azuner",34.195,-97.124,0,"うよすま",-7.299,-117.355,0,"ByeolBam",-44.452,-92.383,0,341.188,-0.825,-20.964,0,0,"",0,0,0,0,,350.535,343.772,,0,0
4,1,1,0,0,0,1,0,0,1,0,255,3,255,3,362.514,"Pugeuk",R,26,92,140,0.866,0.146,0.56,1.512,0.533,1.532,-36.694,26.796,47,53,0,0,0,-126.453,-200,6.039,0,0,1,1,1,R,"ke ro",190,80,0.398,0,37,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301,-37.548,0,"Pring__",-0.011,-17.579,0,"Yaksok~",-17.976,-45.576,0,"muyang_",-17.665,-63.938,0,"TaeGeuk_",21.402,-44.937,0,"si_ho",2.092,-58.893,0,"Azuner",32.707,-97.125,0,"うよすま",-5.061,-117.493,0,"ByeolBam",-43.432,-93.562,0,0,0,0,0,0,"",0,0,0,0,363.295,365.345,,,0,0
5,1,1,0,0,0,2,0,0,1,0,255,3,255,4,376.85,"Pugeuk",R,29,83,135,0.78,1.161,0.575,1.722,0.601,2.21,-36.694,24.061,52,48,0,2,0,-194.162,-143.918,16.594,0,0,1,1,1,R,"ke ro",190,80,0.398,3,37,W,Y,377.902,115,20,48,40,27,123,110,-5.119,37.807,0.89,0,0.48,-169.424,229.997,-17.297,0.318,-37.258,0,"Pring__",-0.017,-17.559,0,"Yaksok~",-19.276,-48.37,106,"muyang_",-16.85,-62.809,0,"TaeGeuk_",21.46,-47.145,85,"si_ho",2.591,-59.387,0,"Azuner",33.222,-95.647,0,"うよすま",-6.058,-115.745,0,"ByeolBam",-43.375,-93.515,0,377.628,-7.751,-28.586,378.642,2,"Yaksok~",-17.883,-42.346,0,0,,,381.832,,48,2
6,1,1,0,0,0,0,1,0,0,1,255,255,3,5,400.209,"Pugeuk",R,29,89,140,-1.715,0.38,0.345,1.589,-0.468,1.78,-36.694,23.694,50,50,0,2,0,-241.245,-83.013,11.445,0,0,1,2,2,L,"펜케이크",190,95.133,0.447,3,37,W,Y,401.327,174,62,146,78,49,145,130,-26.63,44.76,0.58,0,0.777,-160.886,-83.935,117.031,0.089,-37.143,0,"Pring__",-0.058,-17.635,0,"Yaksok~",-17.196,-46.133,0,"muyang_",-16.504,-60.857,0,"TaeGeuk_",21.242,-47.236,0,"si_ho",16.003,-63.409,82,"Azuner",51.163,-100.047,0,"うよすま",8.798,-121.28,0,"ByeolBam",-38.264,-100.626,97,400.748,-2.466,-22.788,407.348,8,"ByeolBam",-69.183,-92.466,1,0,,411.188,,406.043,258,2
7,1,1,1,0,0,0,1,0,1,0,255,2,255,6,430.093,"Pugeuk",R,6,77,103,2.107,0.916,0.405,1.675,-0.127,1.959,-36.694,11.6,50,50,0,2,0,456.583,0,9.389,0,0,1,3,7,R,"k@ster",168.4,95.017,0.646,3,36,W,Y,431.274,174,91,73,78,50,145,82,91.305,87.997,-0.87,0,0.188,411.75,-274.925,79.151,0.579,-37.893,0,"Pring__",0.024,-17.629,0,"Yaksok~",-18.273,-47.516,0,"muyang_",-15.243,-62.249,0,"TaeGeuk_",20.89,-45.993,0,"si_ho",11.173,-60.413,0,"Azuner",34.663,-94.754,0,"うよすま",-4.27,-114.469,0,"ByeolBam",-46.48,-92.291,0,436.095,46.367,-12.585,0,0,"",0,0,0,0,,433.44,,,0,3
8,1,1,1,0,0,1,1,0,1,0,255,2,255,7,453.889,"Pugeuk",R,14,73,101,2.296,-1.402,0.525,1.432,0.247,1.367,-36.694,31.394,40,60,0,1,0,352.076,314.225,13.328,0,0,0,3,7,R,"k@ster",168.4,95.017,0.646,0,36,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299,-37.657,0,"Pring__",0.035,-17.594,0,"Yaksok~",-19.07,-44.993,0,"muyang_",-14.715,-64.356,0,"TaeGeuk_",20.175,-46.457,0,"si_ho",11.814,-59.015,0,"Azuner",33.972,-92.638,0,"うよすま",-4.022,-113.437,0,"ByeolBam",-45.567,-92.028,0,0,0,0,0,0,"",0,0,0,0,454.602,454.151,,,0,0
9,1,1,1,0,1,1,1,0,1,0,255,2,255,8,473.72,"Pugeuk",R,27,87,140,1.577,0.577,0.613,1.592,0.776,1.809,-36.694,23.284,49,51,0,2,0,-78.713,-117.558,6.546,0,0,1,3,7,R,"k@ster",168.4,95.017,0.646,3,36,W,Y,474.61,139,77,67,47,24,137,77,48.353,20.18,-0.87,0,0.159,-272.432,-406.21,328.09,0.421,-37.195,0,"Pring__",0.018,-17.602,0,"Yaksok~",-19.144,-48.601,0,"muyang_",-14.472,-64.256,99,"TaeGeuk_",23.403,-45.416,0,"si_ho",12.346,-57.741,0,"Azuner",34.045,-92.534,0,"うよすま",-4.583,-113.482,0,"ByeolBam",-45.194,-91.845,0,478.522,-13.923,-69.24,478.695,3,"muyang_",-13.554,-66.957,0,4,502.628,482.158,,,262,1
10,1,0,1,0,0,0,0,0,0,0,255,255,255,0,607.222,"coder_",R,26,78,128,-2.55,0.597,-0.041,1.578,-1.122,1.75,-36.517,3.415,48,52,0,2,0,9.327,-195.673,21.779,0,0,1,0,9,L,"HOGGYS 호기스",175.2,90,0.45,3,35,W,Y,608.237,73,10,0,4,0,2,41,14.584,-45.682,-0.4,0,0.267,-515.386,-194.921,147.918,-0.321,-37.331,0,"ke ro",-0.215,-17.286,0,"펜케이크",-22.616,-48.22,84,"하루（Haru）",-10.343,-62.971,0,"_Gosomi",22.422,-50.704,107,"CoalCat",12.822,-61.212,0,"Ѕeyeon",47.455,-93.1,0,"k@ster",-0.087,-107.829,0,"Yes_Man_",-29.467,-100.675,0,608.668,8.741,-27.725,610.828,4,"_Gosomi",18.306,-38.773,1,0,,,,,324,2
