id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,183.216,"인생최패망자",R,32,93,140,-0.198,0.459,0.723,1.44,-0.36,1.799,-36.743,40.21,2,98,0,2,0,207.046,-82.836,10.63,0,0,1,0,7,R,"Yes_Man_",174.8,84.826,0.502,3,80,W,Y,184.283,222,103,72,77,43,145,117,25.271,12.788,0.76,0,0.498,209.497,-322.671,22.312,0.093,-36.922,0,"눈꽃",-0.123,-17.502,0,"Sabo_10",-21.545,-48.16,0,"_Gosomi",-14.003,-61.614,0,"Pugeuk",20.01,-49.331,0,"아침땅_",11.664,-65.275,0,"MODECO",47.053,-90.458,0,"うよすま",-4.949,-111.715,100,"ディシジョン",-48.055,-91.428,0,0,0,0,189.371,7,"うよすま",-15.653,-117.023,0,0,,,,,1,1
2,1,1,0,0,0,0,1,0,0,0,255,255,255,1,207.725,"인생최패망자",R,32,90,140,1.114,-0.583,0.834,1.171,0.157,1.238,-36.743,60.641,6,73,22,0,0,250,-24.029,3.805,0,0,0,1,6,R,"Yaksok~",190,80,0.332,0,85,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117,-37.356,0,"눈꽃",-0.002,-17.511,0,"Sabo_10",-21.324,-47.605,0,"_Gosomi",-14.252,-61.743,0,"Pugeuk",17.376,-48.523,0,"아침땅_",11.694,-65.294,0,"MODECO",42.488,-105.066,0,"うよすま",-2.349,-115.479,0,"ディシジョン",-51.05,-95.151,0,0,0,0,0,0,"",0,0,0,0,208.715,,,,0,0
3,1,1,0,0,0,1,1,0,0,0,255,255,255,2,222.326,"인생최패망자",R,13,87,111,-2.134,-1.976,0.729,1.105,-0.22,0.803,-36.743,53.651,6,64,30,1,0,-390.434,312.348,-1.119,0,0,0,1,6,R,"Yaksok~",190,80,0.332,0,85,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241,-37.903,0,"눈꽃",-0.051,-17.558,0,"Sabo_10",-21.96,-48.33,0,"_Gosomi",-14.186,-62.031,0,"Pugeuk",18.009,-48.657,0,"아침땅_",11.733,-65.308,0,"MODECO",39.441,-104.137,0,"うよすま",-2.313,-117.339,0,"ディシジョン",-51.283,-95.428,0,0,0,0,0,0,"",0,0,0,0,223.471,,,,0,0
4,1,1,0,0,1,1,1,0,0,0,255,255,255,3,236.065,"인생최패망자",R,32,93,140,0.021,0.505,0.723,1.47,-0.359,1.879,-36.743,34.849,2,98,0,0,0,248.914,-65.441,12.246,0,0,1,1,6,R,"Yaksok~",190,80,0.332,0,84,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.391,-37.306,0,"눈꽃",-0.033,-17.597,0,"Sabo_10",-22.012,-46.648,0,"_Gosomi",-14.178,-62.028,0,"Pugeuk",18.398,-50.057,0,"아침땅_",11.571,-65.292,0,"MODECO",39.103,-104.683,0,"うよすま",-3.104,-116.076,0,"ディシジョン",-51.284,-95.429,0,0,0,0,0,0,"",0,0,0,0,237.115,,,,0,0
5,1,1,0,0,1,2,1,0,0,0,255,255,255,4,250.329,"인생최패망자",R,32,91,140,0.135,-0.481,0.733,1.176,-0.311,1.256,-36.743,53.453,5,95,0,0,0,250,-77.011,0.874,0,0,0,1,6,R,"Yaksok~",190,80,0.332,0,55,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323,-37.293,0,"눈꽃",-0.018,-17.597,0,"Sabo_10",-22.165,-48.2,0,"_Gosomi",-14.164,-62.021,0,"Pugeuk",18.474,-50.16,0,"아침땅_",11.646,-65.28,0,"MODECO",39.103,-106.544,0,"うよすま",-2.546,-115.355,0,"ディシジョン",-51.29,-95.433,0,0,0,0,0,0,"",0,0,0,0,251.404,,,,0,0
6,1,1,0,0,0,0,2,0,0,0,255,255,255,5,267.643,"인생최패망자",R,32,94,140,-1.708,-0.446,0.571,1.183,-1.065,1.279,-36.743,40.425,5,82,12,1,0,250,-75.806,4.398,0,0,0,2,2,L,"Pring__",190,93.089,0.485,0,84,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139,-37.523,0,"눈꽃",-0.058,-17.566,0,"Sabo_10",-21.168,-46.811,0,"_Gosomi",-10.514,-65.056,0,"Pugeuk",22.697,-51.632,0,"아침땅_",15.11,-63.611,0,"MODECO",55.013,-104.633,0,"うよすま",8.305,-122.171,0,"ディシジョン",-48.703,-97.086,0,0,0,0,0,0,"",0,0,0,0,268.86,,,,0,0
7,1,1,0,0,1,0,2,0,0,0,255,255,255,6,279.143,"인생최패망자",R,32,91,140,0.109,0.686,0.731,1.403,-0.321,1.989,-36.743,44.066,5,95,0,2,0,249.623,-73.491,9.51,0,0,1,2,2,L,"Pring__",190,93.089,0.485,3,84,W,Y,280.044,191,91,95,93,55,145,118,25.615,-43.818,0.78,0,0.207,-194.549,-431.092,339.757,0.29,-37.032,0,"눈꽃",-0.03,-17.631,0,"Sabo_10",-20.967,-46.751,0,"_Gosomi",-10.495,-65.058,0,"Pugeuk",22.694,-51.467,0,"아침땅_",15.092,-63.502,0,"MODECO",54.959,-105.207,0,"うよすま",7.834,-122.067,0,"ディシジョン",-45.02,-101.386,0,284.915,81.809,-90.721,0,0,"",0,0,0,0,,,,,0,3
8,1,1,0,0,1,1,2,0,0,0,255,255,255,7,296.973,"인생최패망자",R,3,85,110,-0.094,-0.59,0.918,1.241,0.808,1.264,-36.743,80.859,11,89,0,0,0,-465.192,0,2.776,0,0,0,2,2,L,"Pring__",190,93.089,0.485,0,84,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239,-37.549,0,"눈꽃",-0.045,-17.549,0,"Sabo_10",-22.11,-47.601,0,"_Gosomi",-8.736,-64.948,0,"Pugeuk",23.389,-51.213,0,"아침땅_",15.143,-63.757,0,"MODECO",61.171,-97.435,0,"うよすま",7.772,-117.841,0,"ディシジョン",-40.616,-105.345,0,0,0,0,0,0,"",0,0,0,0,298.093,,,,0,0
9,1,1,0,0,1,2,2,0,0,0,255,255,255,8,308.203,"인생최패망자",R,32,92,140,0.691,-0.519,0.785,1.268,-0.07,1.235,-36.743,58.232,7,93,0,0,0,250,-68.459,2.347,0,0,1,2,2,L,"Pring__",190,93.089,0.485,0,84,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208,-37.162,0,"눈꽃",-0.026,-17.602,0,"Sabo_10",-21.738,-45.355,0,"_Gosomi",-8.712,-64.927,0,"Pugeuk",23.589,-51.269,0,"아침땅_",15.116,-63.677,0,"MODECO",61.874,-96.323,0,"うよすま",8.569,-119.182,0,"ディシジョン",-40.83,-105.269,0,0,0,0,0,0,"",0,0,0,0,309.215,,,,0,0
10,1,0,0,0,0,0,0,0,0,0,255,255,255,0,438.173,"_Chun",L,0,63,104,2.605,1.896,-0.251,2.321,1.143,2.694,-36.623,70.883,77,23,0,1,0,0,0,-3.306,0,0,0,0,9,R,"_송글_",174.9,90.478,0.316,0,82,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.248,-37.21,0,"encounter v",-0.006,-17.584,0,"Pring__",-21.381,-46.867,0,"SUGUN",-14.472,-61.214,0,"소솨소솨",19.082,-46.468,0,"CoalCat",10.359,-64.061,0,"Yaksok~",40.837,-84.33,0,"Yes_Man_",-1.577,-112.135,0,"Po_cari",-37.248,-83.269,0,0,0,0,0,0,"",0,0,0,0,439.504,,,,0,0
