id,type,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,sH,sV,gyro,plx,plz,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,bSwing,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,launchPosX,launchPosY,launchPosZ,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,ltSec,lx,lz,cSec,cPos,cx,cy,cz,1BSafe,tag,cpSec,bTo1Sec,bTo2Sec,bTo3Sec,bToHSec,r1To2Sec,r1To3Sec,r1ToHSec,r2To3Sec,r2ToHSec,r3ToHSec,r1LeaveSec,r2LeaveSec,r3LeaveSec,out1Sec,out1BatterIndex,out1PrevBase,out1Code,out1Ass,out2Sec,out2BatterIndex,out2PrevBase,out2Code,out2Ass,out3Sec,out3BatterIndex,out3PrevBase,out3Code,out3Ass,ball1Sec,ball1Pos,ball2Sec,ball2Pos,ball3Sec,ball3Pos,ballHSec,ballHPos,PitchPPosX,PitchPPosZ,PitchCPosX,PitchCPosZ,Pitch1BPosX,Pitch1BPosZ,Pitch2BPosX,Pitch2BPosZ,Pitch3BPosX,Pitch3BPosZ,PitchSSPosX,PitchSSPosZ,PitchLFPosX,PitchLFPosZ,PitchCFPosX,PitchCFPosZ,PitchRFPosX,PitchRFPosZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,PGetSec,PGetX,PGetZ,CGetSec,CGetX,CGetZ,1BGetSec,1BGetX,1BGetZ,2BGetSec,2BGetX,2BGetZ,3BGetSec,3BGetX,3BGetZ,SSGetSec,SSGetX,SSGetZ,LFGetSec,LFGetX,LFGetZ,CFGetSec,CFGetX,CFGetZ,RFGetSec,RFGetX,RFGetZ,PThrSec,PThrX,PThrZ,CThrSec,CThrX,CThrZ,1BThrSec,1BThrX,1BThrZ,2BThrSec,2BThrX,2BThrZ,3BThrSec,3BThrX,3BThrZ,SSThrSec,SSThrX,SSThrZ,LFThrSec,LFThrX,LFThrZ,CFThrSec,CFThrX,CFThrZ,RFThrSec,RFThrX,RFThrZ,errPosDelta,result,balk,cPlr,sb2Sec,sb3Sec,sbhSec,ass,remarks
1,,1,1,0,0,0,0,0,0,0,0,255,255,255,0,418.764,"ddil_ddil69",R,26,95,140,-1.066,-0.477,0.302,1.962,-0.482,1.163,-36.69,30.166,58,42,0,0,7.429,-150,-24.959,0,0,0,3,R,"_Gosomi",175.2,85.368,0.474,,39,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.051,-37.421,-0.034,-17.256,-20.767,-46.936,-14.584,-63.683,24.576,-52.561,9.918,-63.079,40.937,-90.684,0,-109.88,-40.837,-90.584,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",,,,0,""
2,,1,1,0,0,0,1,0,0,0,0,255,255,255,1,436.822,"ddil_ddil69",R,0,75,126,-0.632,1.537,0.361,2.25,-0.287,2.466,-36.69,62.422,88,9,3,2,0,0,6.919,0,0,0,3,R,"_Gosomi",175.2,85.368,0.474,3,39,W,Y,1,437.993,255,75,78,116,46,145,127,107.814,-66.758,-0.117,1.455,-20.563,0.28,0,0.488,16.028,70.082,-595.677,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.054,-37.352,-0.032,-17.522,-20.921,-46.789,-14.579,-63.667,24.635,-52.601,9.813,-64.557,40.915,-90.664,0,-109.86,-40.815,-90.564,0.278,-37.001,,"Amellaid",-0.069,-17.553,,"레이나2",-20.635,-46.76,,"ByeolBam",-14.57,-63.593,,"yumi2012",24.628,-52.508,,"CoalCat",9.067,-64.34,,"AI",40.9,-90.65,,"AI",0,-109.84,,"AI",-40.8,-90.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",3,0,"",,,,0,""
3,,1,1,0,0,0,2,0,0,0,0,255,255,255,2,450.169,"ddil_ddil69",R,26,68,121,-6.669,0.941,0.351,1.928,-0.518,1.097,-36.69,23.953,37,63,0,2,50.813,-150,26.378,0,0,0,3,R,"_Gosomi",175.2,85.368,0.474,3,44,W,Y,1,451.4,191,75,69,105,50,143,80,25.146,53.102,-0.228,0.837,-20.885,1,0,0.401,248.236,519.231,169.641,453.675,-42.044,-46.863,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016,-37.43,-0.034,-17.546,-20.907,-46.837,-14.57,-63.653,24.643,-51.836,9.126,-64.339,40.907,-90.657,0,-109.85,-40.807,-90.557,0.151,-36.998,,"Amellaid",-0.155,-17.592,,"레이나2",-20.598,-46.793,,"ByeolBam",-14.577,-63.564,,"yumi2012",24.633,-51.806,,"CoalCat",9.073,-64.061,,"AI",40.9,-90.65,,"AI",0,-109.84,,"AI",-40.8,-90.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",3,0,"",,,,0,""
4,,1,1,0,0,0,2,0,0,0,0,255,255,255,3,469.343,"ddil_ddil69",R,32,64,118,-0.379,-0.031,0.367,1.973,-0.603,1.398,-36.69,23.891,82,18,0,2,250,-150,-0.007,0,0,0,3,R,"_Gosomi",175.2,85.368,0.474,3,44,W,Y,1,470.57,255,79,65,109,70,140,118,-12.155,-20.198,-0.065,0.99,-21.052,0.78,0,0.401,-558.029,2.033,-220.452,470.168,1.46,-25.197,472.088,5,15.528,0.057,-62.635,0,1,,476.047,,,,,,,,,,,,,475.919,0,,147,2,,,,,,,,,,,,,,,,,,,0.106,-37.323,-0.037,-17.567,-21.005,-46.778,-15.453,-63.54,24.907,-52.2,9.781,-65.04,40.907,-90.657,0,-109.85,-40.808,-90.557,0.132,-36.959,,"Amellaid",-0.16,-17.602,,"레이나2",-20.65,-46.781,84,"ByeolBam",-15.463,-63.521,,"yumi2012",24.915,-52.202,,"CoalCat",9.447,-64.877,107,"AI",40.9,-90.65,,"AI",0,-109.84,,"AI",-40.8,-90.55,,480.049,-0.968,-38.375,,,,475.344,-17.861,-40.551,,,,,,,472.606,15.549,-63.635,,,,,,,,,,,,,,,,478.945,-18.254,-39.473,,,,,,,473.63,12.211,-61.968,,,,,,,,,,"",2,0,"CoalCat",,,,7,""
5,,1,1,0,0,0,0,1,0,0,0,255,255,255,4,493.329,"ddil_ddil69",R,26,94,140,-0.347,-0.94,0.412,1.922,-0.11,0.899,-36.69,30.62,92,8,0,0,-45.536,-150,5.068,0,0,1,5,R,"muyang_",171.9,80,0.498,,38,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.001,-37.314,0.095,-17.49,-20.783,-46.997,-14.544,-63.78,24.439,-52.848,9.954,-63.142,40.915,-90.664,0,-109.86,-40.815,-90.564,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,497.707,-0.213,-37.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",,,,0,""
6,,1,1,0,0,0,1,1,0,0,0,255,255,255,5,507.411,"ddil_ddil69",R,14,80,118,0.413,-1.328,0.387,2.002,-0.35,1.35,-36.69,31.934,91,6,3,4,305.044,396.167,12.64,0,0,1,5,R,"muyang_",171.9,80,0.498,,38,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058,-37.228,0,-17.561,-20.832,-46.867,-14.487,-63.657,24.409,-52.85,10.01,-63.064,40.915,-90.664,0,-109.85,-40.815,-90.564,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,512.058,-0.175,-37.384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",,,,0,""
7,,1,1,0,0,0,2,1,0,0,0,255,255,255,6,535.968,"ddil_ddil69",R,26,81,132,1.631,-0.059,0.533,2.037,0.584,1.389,-36.69,37.608,85,15,0,2,74.252,-150,4.052,0,0,1,5,R,"muyang_",171.9,80,0.498,5,38,W,Y,1,537.105,191,242,137,78,34,145,107,26.334,67.978,0.302,0.903,-20.415,0.06,0,0.162,-36.651,469.367,371.957,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.088,-37.31,-0.041,-17.647,-20.851,-46.847,-14.486,-63.676,24.499,-52.863,9.794,-63.505,40.937,-90.684,0,-109.88,-40.837,-90.584,0.165,-37.128,,"Amellaid",-0.027,-17.68,,"레이나2",-20.476,-46.956,,"ByeolBam",-14.497,-63.674,,"yumi2012",24.49,-52.855,,"CoalCat",9.809,-63.303,,"AI",40.9,-90.65,,"AI",0,-109.84,,"AI",-40.8,-90.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",3,0,"",,,,0,""
8,,1,1,0,0,0,2,1,0,0,0,255,255,255,7,553.807,"ddil_ddil69",R,13,79,116,-3.16,-2.067,0.298,1.875,-0.763,0.896,-36.69,13.618,42,58,0,4,-353.713,353.393,8.969,-0.693,-19.201,1,5,R,"muyang_",171.9,80,0.498,,38,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,559.562,1,,147,16,,,,,,,,,,,,,,,,,,,0.077,-37.279,-0.056,-17.575,-20.937,-46.792,-14.464,-63.671,24.176,-51.865,10.142,-63.397,40.907,-90.657,0,-109.85,-40.807,-90.557,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",,,,0,""
9,,1,1,0,0,0,0,2,0,0,0,255,255,255,8,577.797,"ddil_ddil69",R,10,66,110,0.041,-0.206,0.445,2.227,0.005,1.963,-36.69,42.44,98,2,0,0,0,400,4.34,0,0,2,2,R,"즉석카레",174.9,92.596,0.402,,38,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.054,-37.352,-0.08,-17.627,-20.922,-46.769,-14.495,-63.587,24.204,-51.845,9.291,-63.61,40.922,-90.67,0,-109.86,-40.822,-90.57,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",,,,0,""
10,,1,1,0,0,0,1,2,0,0,0,255,255,255,9,593.41,"ddil_ddil69",R,26,99,140,0.244,-0.654,0.431,1.946,-0.013,1.06,-36.69,30.224,82,18,0,0,77.527,-150,14.834,0,0,2,2,R,"즉석카레",174.9,92.596,0.402,,38,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.079,-37.255,-0.18,-17.499,-20.906,-46.725,-14.07,-63.95,24.148,-51.828,9.298,-63.644,40.915,-90.664,0,-109.85,-40.815,-90.564,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",,,,0,""
