id,type,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,sH,sV,gyro,plx,plz,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,bSwing,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,launchPosX,launchPosY,launchPosZ,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,ltSec,lx,lz,cSec,cPos,cx,cy,cz,1BSafe,tag,cpSec,bTo1Sec,bTo2Sec,bTo3Sec,bToHSec,r1To2Sec,r1To3Sec,r1ToHSec,r2To3Sec,r2ToHSec,r3ToHSec,r1LeaveSec,r2LeaveSec,r3LeaveSec,out1Sec,out1BatterIndex,out1PrevBase,out1Code,out1Ass,out2Sec,out2BatterIndex,out2PrevBase,out2Code,out2Ass,out3Sec,out3BatterIndex,out3PrevBase,out3Code,out3Ass,ball1Sec,ball1Pos,ball2Sec,ball2Pos,ball3Sec,ball3Pos,ballHSec,ballHPos,PitchPPosX,PitchPPosZ,PitchCPosX,PitchCPosZ,Pitch1BPosX,Pitch1BPosZ,Pitch2BPosX,Pitch2BPosZ,Pitch3BPosX,Pitch3BPosZ,PitchSSPosX,PitchSSPosZ,PitchLFPosX,PitchLFPosZ,PitchCFPosX,PitchCFPosZ,PitchRFPosX,PitchRFPosZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,PGetSec,PGetX,PGetZ,CGetSec,CGetX,CGetZ,1BGetSec,1BGetX,1BGetZ,2BGetSec,2BGetX,2BGetZ,3BGetSec,3BGetX,3BGetZ,SSGetSec,SSGetX,SSGetZ,LFGetSec,LFGetX,LFGetZ,CFGetSec,CFGetX,CFGetZ,RFGetSec,RFGetX,RFGetZ,PThrSec,PThrX,PThrZ,CThrSec,CThrX,CThrZ,1BThrSec,1BThrX,1BThrZ,2BThrSec,2BThrX,2BThrZ,3BThrSec,3BThrX,3BThrZ,SSThrSec,SSThrX,SSThrZ,LFThrSec,LFThrX,LFThrZ,CFThrSec,CFThrX,CFThrZ,RFThrSec,RFThrX,RFThrZ,errPosDelta,result,balk,cPlr,sb2Sec,sb3Sec,sbhSec,ass,remarks
1,,1,1,0,0,0,0,0,0,0,0,255,255,255,0,252.881,"눈꽃",R,27,95,140,0.517,0.231,0.148,1.814,0.165,1.574,-36.64,13.713,59,41,0,2,47.498,-149.24,0,0,0,0,5,R,"즉석카레",169.6,92.596,0.402,3,53,W,Y,0,253.88,200,72,78,47,34,140,81,40.936,13.853,0.096,0.989,-20.526,-0.8,0,0.181,393.473,444.655,86.375,,,,258.462,3,-19.677,2.837,-74.283,0,0,,,,,,,,,,,,,,,259.075,0,,452,0,,,,,,,,,,,,,,,,,,,-0.114,-37.636,-0.015,-17.69,-21.628,-49.126,-15.443,-63.541,22.478,-49.046,11.115,-64.003,40.938,-90.685,0,-109.88,-40.838,-90.585,0.159,-37.26,,"Pring__",-0.013,-17.702,,"Penguin_iDOL",-21.707,-49.014,,"Yaksok~",-15.509,-63.616,93,"_Gosomi",22.422,-48.986,,"CoalCat",11.085,-63.89,,"AI",40.9,-90.65,,"AI",0,-109.84,,"AI",-40.8,-90.55,,261.968,-0.267,-39.016,,,,,,,259.08,-19.81,-74.742,,,,,,,,,,,,,,,,,,,,,,,,,260.165,-17.24,-69.783,,,,,,,,,,,,,,,,"",1,0,"Yaksok~",,,,20,""
2,,1,1,0,0,0,0,1,0,0,0,255,255,255,1,276.283,"눈꽃",R,26,90,140,1.184,-0.212,0.281,1.806,0.475,1.337,-36.64,17.992,57,43,0,0,26.894,-150,0,0,0,1,2,R,"うよすま",190,85.375,0.502,,52,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.059,-37.691,-0.011,-17.551,-22.522,-48.569,-15.823,-63.136,21.923,-50.157,11.69,-62.843,40.922,-90.671,0,-109.86,-40.822,-90.571,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,280.224,0.064,-37.579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",,,,0,""
3,,1,1,0,0,0,1,1,0,0,0,255,255,255,2,290.087,"눈꽃",R,26,78,128,1.223,0.826,0.306,2.049,0.444,1.969,-36.64,28.745,88,12,0,0,51.943,-150,0,0,0,1,2,R,"うよすま",190,85.375,0.502,,52,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.089,-37.678,-0.013,-17.549,-21.254,-48.298,-15.584,-63.403,21.875,-50.167,11.728,-62.943,40.915,-90.664,0,-109.85,-40.815,-90.564,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,294.411,0.077,-37.724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",,,,0,""
4,,1,1,0,0,0,2,1,0,0,0,255,255,255,3,303.934,"눈꽃",R,14,72,111,-1.46,-0.5,-0.058,1.897,-1.345,1.699,-36.64,12.264,53,47,0,0,387.759,315.663,0,0,0,1,2,R,"うよすま",190,85.375,0.502,,52,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,306.619,1,,578,0,,,,,,,,,,,,,,,,,,,-0.285,-37.769,-0.135,-17.565,-22.495,-48.637,-15.512,-63,22.691,-50.693,11.691,-62.952,40.907,-90.657,0,-109.85,-40.807,-90.557,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,309.422,0.049,-38.199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",,,,0,""
5,,1,1,0,0,0,0,2,0,0,0,255,255,255,4,328.931,"눈꽃",R,13,66,107,1.717,0.361,0.504,2,1.333,2.245,-36.64,28.636,70,30,0,1,-363.676,331.994,0,0,0,2,3,L,"하루（Haru）",160,85,0.397,,50,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029,-37.759,-0.037,-17.532,-21.616,-50.265,-9.795,-66.106,24.861,-50.606,12.448,-62.343,40.93,-90.677,0,-109.87,-40.83,-90.577,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,332.974,-0.037,-37.862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",,,,0,""
6,,1,1,0,0,1,0,2,0,0,0,255,255,255,5,343.882,"눈꽃",R,27,97,140,0.709,-2.97,0.148,1.555,0.147,0.51,-36.64,15.151,44,56,0,2,58.674,-141.192,0,0,0,2,3,L,"하루（Haru）",160,85,0.397,3,50,W,Y,1,344.964,130,253,108,56,41,139,46,5.059,-9.641,0.252,0.057,-20.715,0.53,0,0.346,-457.034,-135.042,364.532,344.276,0.252,-20.715,345.902,0,2.391,0.06,-35.159,0,0,,349.903,,,,,,,,,,,,,349.634,2,,147,16,,,,,,,,,,,,,,,,,,,-0.052,-37.58,-0.05,-17.554,-21.468,-50.279,-10.024,-66.206,24.841,-50.928,12.507,-62.411,40.915,-90.664,0.239,-112.511,-40.815,-90.564,0.206,-37.389,120,"Pring__",-0.052,-17.592,,"Penguin_iDOL",-21.527,-50.228,,"Yaksok~",-10.068,-66.282,,"_Gosomi",24.867,-51.009,,"CoalCat",12.561,-62.302,,"AI",40.9,-90.65,,"ByeolBam",0.301,-112.451,,"AI",-40.8,-90.55,,346.628,2.311,-35.944,,,,349.009,-18.711,-39.329,,,,,,,,,,,,,,,,,,,348.121,0.456,-36.435,,,,,,,,,,,,,,,,,,,,,,,,,"",2,0,"눈꽃",,,,24,""
7,SIDE,1,1,0,0,0,0,2,0,0,0,255,255,255,,350.42,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",,,,0,""
8,,1,0,0,0,0,0,0,0,0,0,255,255,255,0,434.578,"HANA_ARASHI",R,32,94,140,1.196,0.989,0.555,2.104,0.254,2.019,-36.544,40.918,62,38,0,2,250,-150,28.49,0,0,0,7,R,"ByeolBam",175.4,90,0.5,0,46,W,Y,1,435.587,194,91,76,51,24,140,91,58.777,43.973,0.221,1.258,-20.338,-0.65,0,0.304,517.241,226.01,-203.423,440.676,-45.212,-60.416,441.876,8,-49.343,1.343,-63.919,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.123,-37.301,-0.016,-17.419,-20.971,-46.395,-16.222,-62.77,19.949,-48.781,12.711,-64.09,40.922,-90.67,0,-109.86,-40.822,-90.57,0.273,-36.89,,"mungjungh",-0.028,-17.434,,"うよすま",-20.788,-46.27,,"하루（Haru）",-16.222,-62.769,,"Pugeuk",19.824,-48.699,,"즉석카레",11.706,-65.607,,"AI",40.9,-90.65,,"AI",0,-109.84,,"AI",-40.8,-90.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",3,0,"AI",,,,0,""
9,,1,0,0,0,0,1,0,0,0,0,255,255,255,1,455.959,"HANA_ARASHI",R,13,96,126,-4.168,-1.393,0.337,1.953,-1.223,1.139,-36.544,19.64,26,74,0,4,-390.434,312.348,22.299,-1.066,-17.756,0,7,R,"ByeolBam",175.4,90,0.5,,46,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.132,-37.54,-0.038,-17.392,-21.189,-46.836,-17.961,-61.356,20.559,-50.658,12.305,-64.146,40.915,-90.664,0,-109.85,-40.808,-90.557,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",,,,0,""
10,,1,0,0,0,0,2,0,0,0,0,255,255,255,2,471.295,"HANA_ARASHI",R,10,83,123,-0.436,0.558,0.454,2.165,-0.212,2.386,-36.544,39.279,93,7,0,0,5.833,400,-10.34,0,0,0,7,R,"ByeolBam",175.4,90,0.5,,46,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,473.826,0,,578,0,,,,,,,,,,,,,,,,,,,0.07,-37.52,0.017,-17.55,-22.409,-47.528,-17.136,-62.227,19.443,-50.5,11.338,-65.037,40.907,-90.657,0,-109.85,-40.807,-90.557,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",,,,0,""
