id,type,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,sH,sV,gyro,plx,plz,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,bSwing,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,launchPosX,launchPosY,launchPosZ,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,ltSec,lx,lz,cSec,cPos,cx,cy,cz,1BSafe,tag,cpSec,bTo1Sec,bTo2Sec,bTo3Sec,bToHSec,r1To2Sec,r1To3Sec,r1ToHSec,r2To3Sec,r2ToHSec,r3ToHSec,r1LeaveSec,r2LeaveSec,r3LeaveSec,out1Sec,out1BatterIndex,out1PrevBase,out1Code,out1Ass,out2Sec,out2BatterIndex,out2PrevBase,out2Code,out2Ass,out3Sec,out3BatterIndex,out3PrevBase,out3Code,out3Ass,ball1Sec,ball1Pos,ball2Sec,ball2Pos,ball3Sec,ball3Pos,ballHSec,ballHPos,PitchPPosX,PitchPPosZ,PitchCPosX,PitchCPosZ,Pitch1BPosX,Pitch1BPosZ,Pitch2BPosX,Pitch2BPosZ,Pitch3BPosX,Pitch3BPosZ,PitchSSPosX,PitchSSPosZ,PitchLFPosX,PitchLFPosZ,PitchCFPosX,PitchCFPosZ,PitchRFPosX,PitchRFPosZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,PGetSec,PGetX,PGetZ,CGetSec,CGetX,CGetZ,1BGetSec,1BGetX,1BGetZ,2BGetSec,2BGetX,2BGetZ,3BGetSec,3BGetX,3BGetZ,SSGetSec,SSGetX,SSGetZ,LFGetSec,LFGetX,LFGetZ,CFGetSec,CFGetX,CFGetZ,RFGetSec,RFGetX,RFGetZ,PThrSec,PThrX,PThrZ,CThrSec,CThrX,CThrZ,1BThrSec,1BThrX,1BThrZ,2BThrSec,2BThrX,2BThrZ,3BThrSec,3BThrX,3BThrZ,SSThrSec,SSThrX,SSThrZ,LFThrSec,LFThrX,LFThrZ,CFThrSec,CFThrX,CFThrZ,RFThrSec,RFThrX,RFThrZ,errPosDelta,result,balk,cPlr,sb2Sec,sb3Sec,sbhSec,ass,remarks
1,,1,1,0,0,0,0,0,0,0,0,255,255,255,0,202.091,"_Chun",L,10,83,124,-0.693,0.263,-0.494,2.191,-0.288,2.148,-36.669,58.842,72,28,0,0,0,400,-7.205,0,0,0,3,R,"_Gosomi",175,85.368,0.474,,84,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013,-37.6,0,-17.037,-21.383,-46.947,-14.85,-61.961,20.522,-50.284,9.943,-54.497,40.93,-90.677,0,-109.87,-39.921,-85.96,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",,,,0,""
2,,1,1,0,0,0,1,0,0,0,0,255,255,255,1,222.999,"_Chun",L,10,94,118,1.118,-2.126,-0.249,1.706,0.493,0.881,-36.669,16.287,60,40,0,1,0,400,-5.634,0.24,-19.266,0,3,R,"_Gosomi",175,85.368,0.474,,84,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023,-37.647,-0.008,-17.132,-21.142,-46.601,-14.904,-62.114,20.645,-50.153,7.618,-61.242,40.915,-90.664,0,-109.86,-39.409,-94.436,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",,,,0,""
3,,1,1,0,0,1,1,0,0,0,0,255,255,255,2,238.918,"_Chun",L,26,97,140,10.104,3.826,-0.237,1.957,0.799,1.378,-36.669,29.528,78,22,0,2,27.333,-150,-14.962,0,0,0,3,R,"_Gosomi",175,85.368,0.474,3,84,W,Y,1,240.011,146,43,79,74,14,143,85,-12.202,14.139,0.16,0.684,-19.928,-0.8,0,0.42,-125.5,293.181,508.227,239.469,-0.544,-22.7,241.744,3,-11.678,0.056,-54.843,0,0,,,,,,,,,,,,,,,245.386,0,,147,16,,,,,,,,,,,,,,,,,,,0.034,-37.605,0,-17.001,-21.219,-46.648,-14.764,-62.107,20.675,-50.348,7.832,-61.798,40.915,-90.664,0,-109.85,-39.415,-94.449,-0.121,-37.227,,"소솨소솨",0.14,-17.045,,"Pring__",-21.011,-46.491,83,"Pugeuk",-14.906,-62.209,86,"Muna_328",20.751,-50.434,,"Kr_Luna",4.971,-61.684,,"AI",40.9,-90.65,,"AI",0,-109.84,,"눈꽃",-39.412,-94.443,,250.502,-0.528,-38.087,,,,244.745,-18.677,-40.867,242.399,-12.038,-55.489,,,,,,,,,,,,,,,,,,,,,,249.424,-17.613,-39.542,243.901,-12.572,-53.512,,,,,,,,,,,,,,,,"",2,0,"Pugeuk",,,,19,""
4,,1,1,0,0,0,0,1,0,0,0,255,255,255,3,265.008,"_Chun",L,26,88,140,1.303,0.609,-0.302,2.075,0.494,1.792,-36.669,35.853,78,22,0,0,71.383,-150,-21.256,0,0,1,5,R,"CoalCat",174.6,83,0.397,,78,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.025,-37.705,0.032,-17.018,-21.432,-47.323,-14.02,-58.754,21.473,-51.214,7.192,-62.766,40.915,-90.664,0,-109.86,-36.925,-90.922,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,269.158,-0.022,-37.509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",,,,0,""
5,,1,1,0,0,0,1,1,0,0,0,255,255,255,4,279.103,"_Chun",L,26,95,140,2.103,0.06,-0.227,1.986,0.845,1.477,-36.669,31.8,81,19,0,2,57.062,-150,-17.403,0,0,1,5,R,"CoalCat",174.6,83,0.397,3,78,W,Y,1,280.107,255,147,93,54,37,145,83,13.142,-21.25,0.795,1.136,-20.913,-0.93,0,0.485,271.927,-329.747,421.097,282.319,21.893,-68.999,283.811,6,27.985,0.06,-81.505,1,0,,285.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.066,-37.637,0.072,-17.051,-20.875,-47.854,-15.252,-62.746,21.456,-51.116,8.678,-62.185,40.908,-90.658,0,-109.85,-36.93,-90.935,-0.125,-37.05,,"소솨소솨",0.109,-17.091,,"Pring__",-21.375,-47.131,,"Pugeuk",-15.173,-62.657,85,"Muna_328",21.412,-51.007,,"Kr_Luna",6.439,-62.525,,"AI",40.9,-90.65,,"AI",0,-109.84,,"눈꽃",-36.928,-90.953,,292.03,-0.143,-38.085,,,,,,,287.696,0.211,-59.183,,,,,,,,,,,,,,,,,,,,,,,,,290.972,-4.498,-55.398,,,,,,,,,,,,,,,,"",2,0,"AI",,,,18,""
6,,1,1,0,0,0,0,1,1,0,0,5,255,255,5,320.542,"_Chun",L,10,86,128,1.934,-1.432,-0.226,1.855,0.848,1.068,-36.669,26.44,88,12,0,2,0,400,-10.783,0,0,2,2,R,"SUGUN",190,82,0.5,3,76,W,Y,1,321.475,255,147,150,131,33,145,123,-30,24.116,0.361,0.462,-20.333,0.2,0,0.414,302.263,-484.623,-183.788,320.836,0.049,-21.032,322.553,3,-14.285,2.277,-53.221,0,2,,,,,,326.509,,,,,,,,,324.263,1,1,276,0,326.417,2,,147,16,,,,,,,,,,,,,,0.041,-37.693,0.148,-17.17,-19.616,-40.116,-14.4,-59.553,22.067,-50.481,13.548,-60.869,40.937,-90.684,0,-109.88,-47.494,-97.161,-0.126,-37.156,,"소솨소솨",0.135,-17.347,,"Pring__",-18.799,-43.005,83,"Pugeuk",-14.231,-59.237,87,"Muna_328",22.047,-50.435,,"Kr_Luna",13.227,-60.935,,"AI",40.9,-90.65,,"AI",0,-109.84,,"눈꽃",-47.506,-97.16,,,,,,,,325.805,-18.194,-40.727,323.168,-14.641,-54.08,,,,,,,,,,,,,,,,,,,,,,328.902,-17.49,-39.606,325.145,-11.104,-47.442,,,,,,,,,,,,,,,,"",2,0,"Pugeuk",326.509,,,17,""
7,SIDE,1,1,0,0,0,0,2,0,0,0,255,255,255,,329.192,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",,,,0,""
8,,1,0,0,0,0,0,0,0,0,0,255,255,255,0,382.359,"ke ro",R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,L,"SUGUN",190,82,0.5,,76,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034,-38.348,0.003,-17.155,-18.274,-43.414,-17.069,-60.834,18.788,-57.488,10.886,-59.968,40.9,-90.65,3.438,-110.628,-40.8,-90.55,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",,,,0,""
9,,1,0,0,0,0,0,0,0,0,0,255,255,255,0,448.823,"ke ro",R,0,78,128,0.837,1.98,0.347,1.881,0.354,2.667,-36.626,33.302,97,3,0,4,0,27.494,4.893,0,0,0,3,L,"Pugeuk",160,85.842,0.349,,72,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011,-37.849,-0.005,-17.22,-19.251,-46.868,-11.211,-64.376,19.954,-56.159,10.862,-64.137,40.9,-90.65,7.556,-108.797,-40.8,-90.55,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",,,,0,""
10,,1,0,0,0,0,1,0,0,0,0,255,255,255,1,461.008,"ke ro",R,10,84,125,1.71,1.033,0.374,1.813,0.811,2.657,-36.626,30.242,100,0,0,4,-49.477,400,10.086,0,0,0,3,L,"Pugeuk",160,85.842,0.349,,72,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.094,-37.937,-0.014,-17.316,-19.599,-45.662,-11.363,-64.408,20.484,-56.588,10.857,-64.157,40.9,-90.65,5.47,-105.756,-40.8,-90.55,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",,,,0,""
